ÀÏÀÚ,½Ãµµ¸í,À¾¸éµ¿¸í,°ÅÁÖÀÎ±¸,±Ù¹«ÀÎ±¸,¹æ¹®ÀÎ±¸,ÃÑ À¯µ¿ÀÎ±¸,±³Åë·®,Æò±Õ ¼Óµµ,Æò±Õ ¼Ò¿ä ½Ã°£,Æò±Õ ±â¿Â,ÀÏ°­¼ö·®,Æò±Õ Ç³¼Ó,µ¥ÀÌÅÍ±âÁØÀÏÀÚ
2018-01-01,¼­±ÍÆ÷½Ã,³²¿øÀ¾,291408.897,18744.131,219588.857,529741.884,76.2,53.0,40.571,2.35,0.0,3.325,2020-12-15
2018-01-02,¼­±ÍÆ÷½Ã,³²¿øÀ¾,290944.66,27781.676,166779.581,485505.917,72.8,53.0,40.771,4.2,0.0,2.8,2020-12-15
2018-01-03,¼­±ÍÆ÷½Ã,³²¿øÀ¾,287121.506,27767.075,181151.435,496040.016,73.971,52.371,41.513999999999996,3.575,0.0,3.925,2020-12-15
2018-01-04,¼­±ÍÆ÷½Ã,³²¿øÀ¾,279036.104,27045.987,188198.647,494280.738,70.286,52.143,41.513999999999996,3.2,1.625,2.45,2020-12-15
2018-01-05,¼­±ÍÆ÷½Ã,³²¿øÀ¾,287205.972,24824.666,171332.544,483363.182,66.314,52.257,41.486000000000004,1.875,2.75,3.875,2020-12-15
2018-01-06,¼­±ÍÆ÷½Ã,³²¿øÀ¾,287820.402,20225.755,203507.082,511553.24,74.829,53.17100000000001,40.743,2.85,0.0,3.225,2020-12-15
2018-01-07,¼­±ÍÆ÷½Ã,³²¿øÀ¾,295788.929,17764.307,186689.528,500242.764,62.6,53.17100000000001,41.31399999999999,5.875,8.625,1.85,2020-12-15
2018-01-10,¼­±ÍÆ÷½Ã,³²¿øÀ¾,291347.572,23248.081,165175.904,479771.557,87.943,48.31399999999999,49.8,-2.25,9.25,2.667,2020-12-15
2018-01-12,¼­±ÍÆ÷½Ã,³²¿øÀ¾,297122.315,20657.86,139731.392,457511.568,47.343,47.68600000000001,47.286,-1.9669999999999999,5.25,2.9,2020-12-15
2018-01-13,¼­±ÍÆ÷½Ã,³²¿øÀ¾,288884.128,17467.832,184490.582,490842.543,72.086,51.286,42.8,2.167,0.0,2.133,2020-12-15
2018-01-14,¼­±ÍÆ÷½Ã,³²¿øÀ¾,291240.719,17695.899,224387.63,533324.247,67.11399999999999,53.114,41.2,5.733,0.375,1.6669999999999998,2020-12-15
2018-01-15,¼­±ÍÆ÷½Ã,³²¿øÀ¾,281654.247,26377.295,208010.107,516041.648,71.743,52.657,41.114,7.95,0.0,2.267,2020-12-15
2018-01-16,¼­±ÍÆ÷½Ã,³²¿øÀ¾,282357.396,25995.979,190381.762,498735.137,68.37100000000001,51.743,42.286,10.275,57.875,2.7,2020-12-15
2018-01-17,¼­±ÍÆ÷½Ã,³²¿øÀ¾,280542.937,25847.14,205060.027,511450.105,69.37100000000001,51.82899999999999,41.8,7.175,0.75,2.775,2020-12-15
2018-01-18,¼­±ÍÆ÷½Ã,³²¿øÀ¾,282848.995,26147.107,226565.416,535561.517,73.257,52.8,41.056999999999995,6.6,0.0,2.2,2020-12-15
2018-01-19,¼­±ÍÆ÷½Ã,³²¿øÀ¾,279346.769,26372.827,231199.297,536918.893,72.0,51.886,41.743,5.2,0.0,2.075,2020-12-15
2018-01-20,¼­±ÍÆ÷½Ã,³²¿øÀ¾,283495.483,20840.954,241941.239,546277.676,72.943,53.286,40.914,4.625,0.0,2.675,2020-12-15
2018-01-21,¼­±ÍÆ÷½Ã,³²¿øÀ¾,287369.045,19680.526,241988.553,549038.124,73.343,53.543,40.829,4.825,0.0,2.55,2020-12-15
2018-01-22,¼­±ÍÆ÷½Ã,³²¿øÀ¾,277951.774,26731.669,203651.886,508335.328,69.8,52.8,41.056999999999995,4.825,2.125,2.525,2020-12-15
2018-01-23,¼­±ÍÆ÷½Ã,³²¿øÀ¾,281898.801,25017.66,197426.505,504342.965,73.829,52.343,41.257,-1.8,1.0,4.25,2020-12-15
2018-01-24,¼­±ÍÆ÷½Ã,³²¿øÀ¾,285863.925,23810.596,176802.594,486477.115,71.4,50.68600000000001,43.486000000000004,-5.15,2.125,4.525,2020-12-15
2018-01-25,¼­±ÍÆ÷½Ã,³²¿øÀ¾,283842.027,24645.019,189801.429,498288.475,75.0,51.657,42.028999999999996,-5.25,0.0,5.575,2020-12-15
2018-01-26,¼­±ÍÆ÷½Ã,³²¿øÀ¾,279766.47,24495.996,182069.601,486332.067,74.0,51.056999999999995,42.68600000000001,-4.4,0.0,5.9,2020-12-15
2018-01-27,¼­±ÍÆ÷½Ã,³²¿øÀ¾,282110.046,18788.191,225101.005,525999.241,75.914,52.743,41.114,-0.55,0.0,2.175,2020-12-15
2018-01-28,¼­±ÍÆ÷½Ã,³²¿øÀ¾,291966.687,16432.26,209071.276,517470.222,63.971000000000004,52.2,41.714,-0.025,1.375,3.975,2020-12-15
2018-01-29,¼­±ÍÆ÷½Ã,³²¿øÀ¾,281929.797,26602.888,183355.518,491888.203,69.143,52.6,41.086000000000006,-1.725,0.375,4.525,2020-12-15
2018-01-30,¼­±ÍÆ÷½Ã,³²¿øÀ¾,281536.242,25786.453,177052.273,484374.967,72.2,50.857,43.714,-2.1,1.375,2.5,2020-12-15
2018-01-31,¼­±ÍÆ÷½Ã,³²¿øÀ¾,276581.982,25941.202,174633.302,477156.486,69.714,52.343,41.428999999999995,-0.125,0.375,2.6,2020-12-15
2018-02-01,¼­±ÍÆ÷½Ã,³²¿øÀ¾,302437.239,27374.848,152830.769,482642.856,73.971,52.229,41.257,0.35,0.125,3.9,2020-12-15
2018-02-02,¼­±ÍÆ÷½Ã,³²¿øÀ¾,298658.614,28756.812,175491.437,502906.862,73.914,51.8,41.543,0.275,0.0,3.425,2020-12-15
2018-02-03,¼­±ÍÆ÷½Ã,³²¿øÀ¾,302757.178,19168.369,129214.122,451139.669,71.6,49.457,46.771,-3.9330000000000003,10.25,4.2669999999999995,2020-12-15
2018-02-04,¼­±ÍÆ÷½Ã,³²¿øÀ¾,310646.308,18151.363,106452.824,435250.496,50.857,48.486000000000004,48.513999999999996,-5.55,7.375,3.6,2020-12-15
2018-02-07,¼­±ÍÆ÷½Ã,³²¿øÀ¾,300392.464,27204.493,121136.728,448733.685,68.143,50.657,43.114,-0.767,0.667,2.1,2020-12-15
2018-02-08,¼­±ÍÆ÷½Ã,³²¿øÀ¾,303741.253,25191.101,121811.158,450743.512,65.457,51.0,43.17100000000001,1.0,4.5,1.9,2020-12-15
2018-02-09,¼­±ÍÆ÷½Ã,³²¿øÀ¾,289929.793,27790.83,143575.998,461296.621,71.914,52.056999999999995,41.229,5.067,0.0,1.9,2020-12-15
2018-02-10,¼­±ÍÆ÷½Ã,³²¿øÀ¾,291507.943,20515.886,137814.72,449838.549,69.086,53.056999999999995,40.743,3.9,3.0,3.8,2020-12-15
2018-02-11,¼­±ÍÆ÷½Ã,³²¿øÀ¾,294713.052,18705.014,133552.148,446970.214,83.88600000000001,53.82899999999999,40.885999999999996,0.9329999999999999,0.0,3.233,2020-12-15
2018-02-12,¼­±ÍÆ÷½Ã,³²¿øÀ¾,287575.38,24002.887,117730.69,429308.957,73.971,52.257,42.0,0.733,0.0,2.167,2020-12-15
2018-02-16,¼­±ÍÆ÷½Ã,³²¿øÀ¾,270903.155,14371.342,363693.343,648967.84,77.029,52.028999999999996,41.543,5.175,0.125,1.925,2020-12-15
2018-02-17,¼­±ÍÆ÷½Ã,³²¿øÀ¾,271553.036,14090.018,230884.071,516527.125,73.857,53.31399999999999,41.028999999999996,2.65,0.0,3.55,2020-12-15
2018-02-18,¼­±ÍÆ÷½Ã,³²¿øÀ¾,280575.039,14795.173,171038.079,466408.291,67.37100000000001,53.743,40.771,4.1,0.5,1.85,2020-12-15
2018-02-19,¼­±ÍÆ÷½Ã,³²¿øÀ¾,277903.962,22205.0,145476.052,445585.014,92.45700000000001,52.543,41.086000000000006,4.425,5.0,2.45,2020-12-15
2018-02-20,¼­±ÍÆ÷½Ã,³²¿øÀ¾,277229.322,24750.942,163087.833,465068.096,83.057,53.286,40.686,5.75,0.0,2.55,2020-12-15
2018-02-21,¼­±ÍÆ÷½Ã,³²¿øÀ¾,274208.361,23818.15,167479.688,465506.199,80.057,52.82899999999999,41.17100000000001,3.775,0.0,3.625,2020-12-15
2018-02-22,¼­±ÍÆ÷½Ã,³²¿øÀ¾,273451.229,24366.933,172710.239,470528.4,73.657,53.343,40.657,1.325,0.0,3.25,2020-12-15
2018-02-23,¼­±ÍÆ÷½Ã,³²¿øÀ¾,273136.67,24456.825,171631.733,469225.228,66.4,52.543,41.2,3.725,0.0,2.3,2020-12-15
2018-02-24,¼­±ÍÆ÷½Ã,³²¿øÀ¾,273400.362,18545.337,204256.83,496202.529,71.486,53.428999999999995,40.686,6.6,0.0,1.85,2020-12-15
2018-02-25,¼­±ÍÆ÷½Ã,³²¿øÀ¾,280588.4,16938.912,193806.747,491334.059,64.686,54.2,40.486,6.75,0.0,2.05,2020-12-15
2018-02-26,¼­±ÍÆ÷½Ã,³²¿øÀ¾,271297.291,23758.178,185576.257,480631.726,76.743,53.229,41.028999999999996,6.0,0.0,2.325,2020-12-15
2018-02-27,¼­±ÍÆ÷½Ã,³²¿øÀ¾,273619.216,23511.058,182434.94,479565.214,69.457,52.629,41.114,7.6,0.0,1.85,2020-12-15
2018-02-28,¼­±ÍÆ÷½Ã,³²¿øÀ¾,276159.837,22013.799,130893.289,429066.926,50.371,51.857,42.343,8.275,111.375,5.55,2020-12-15
2018-03-01,¼­±ÍÆ÷½Ã,³²¿øÀ¾,287889.945,18257.832,143667.261,449815.037,73.829,53.17100000000001,40.714,4.625,0.0,4.525,2020-12-15
2018-03-02,¼­±ÍÆ÷½Ã,³²¿øÀ¾,270119.629,24550.377,166026.638,460696.643,83.85700000000001,52.286,41.543,5.725,0.0,2.1,2020-12-15
2018-03-03,¼­±ÍÆ÷½Ã,³²¿øÀ¾,282021.976,18662.199,167096.805,467780.98,74.514,53.229,41.028999999999996,8.85,2.0,1.55,2020-12-15
2018-03-04,¼­±ÍÆ÷½Ã,³²¿øÀ¾,285381.886,15594.538,144896.956,445873.38,61.714,53.771,41.028999999999996,14.025,25.75,2.65,2020-12-15
2018-03-05,¼­±ÍÆ÷½Ã,³²¿øÀ¾,264939.541,22034.292,110418.126,397391.959,62.714,53.257,41.056999999999995,9.525,3.5,3.05,2020-12-15
2018-03-06,¼­±ÍÆ÷½Ã,³²¿øÀ¾,259288.105,22460.772,127217.172,408966.05,74.37100000000001,53.286,40.829,5.35,0.0,3.425,2020-12-15
2018-03-07,¼­±ÍÆ÷½Ã,³²¿øÀ¾,261831.876,23014.029,121244.061,406089.966,63.457,51.913999999999994,42.2,6.5,29.375,3.05,2020-12-15
2018-03-08,¼­±ÍÆ÷½Ã,³²¿øÀ¾,264598.73,22586.487,111938.172,399123.388,63.2,53.0,41.229,4.1,17.0,5.8,2020-12-15
2018-03-10,¼­±ÍÆ÷½Ã,³²¿øÀ¾,270541.024,17784.307,180522.706,468848.037,75.086,53.31399999999999,41.056999999999995,5.175,0.0,1.975,2020-12-15
2018-03-11,¼­±ÍÆ÷½Ã,³²¿øÀ¾,280409.341,16787.08,178889.887,476086.309,73.343,54.114,40.514,6.55,0.0,2.125,2020-12-15
2018-03-12,¼­±ÍÆ÷½Ã,³²¿øÀ¾,260057.193,24803.521,143423.443,428284.157,69.943,53.771,40.229,8.425,0.0,2.133,2020-12-15
2018-03-13,¼­±ÍÆ÷½Ã,³²¿øÀ¾,259602.84,24503.462,157453.692,441559.994,72.057,52.913999999999994,40.857,11.35,0.0,2.4,2020-12-15
