Location,Period,Indicator,Dim1,First Tooltip
Afghanistan,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,53.95
Afghanistan,2019,Healthy life expectancy (HALE) at birth (years),Male,54.73
Afghanistan,2019,Healthy life expectancy (HALE) at birth (years),Female,53.15
Afghanistan,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,52.6
Afghanistan,2015,Healthy life expectancy (HALE) at birth (years),Male,52.78
Afghanistan,2015,Healthy life expectancy (HALE) at birth (years),Female,52.44
Afghanistan,2010,Healthy life expectancy (HALE) at birth (years),Both sexes,51.13
Afghanistan,2010,Healthy life expectancy (HALE) at birth (years),Male,51.51
Afghanistan,2010,Healthy life expectancy (HALE) at birth (years),Female,50.75
Afghanistan,2000,Healthy life expectancy (HALE) at birth (years),Both sexes,46.76
Afghanistan,2000,Healthy life expectancy (HALE) at birth (years),Male,46.93
Afghanistan,2000,Healthy life expectancy (HALE) at birth (years),Female,46.58
Albania,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,69.08
Albania,2019,Healthy life expectancy (HALE) at birth (years),Male,68
Albania,2019,Healthy life expectancy (HALE) at birth (years),Female,70.25
Albania,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,69.03
Albania,2015,Healthy life expectancy (HALE) at birth (years),Male,67.99
Albania,2015,Healthy life expectancy (HALE) at birth (years),Female,70.12
Albania,2010,Healthy life expectancy (HALE) at birth (years),Both sexes,67.57
Albania,2010,Healthy life expectancy (HALE) at birth (years),Male,66.34
Albania,2010,Healthy life expectancy (HALE) at birth (years),Female,68.85
Albania,2000,Healthy life expectancy (HALE) at birth (years),Both sexes,65.24
Albania,2000,Healthy life expectancy (HALE) at birth (years),Male,63.15
Albania,2000,Healthy life expectancy (HALE) at birth (years),Female,67.69
Algeria,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.39
Algeria,2019,Healthy life expectancy (HALE) at birth (years),Male,66.72
Algeria,2019,Healthy life expectancy (HALE) at birth (years),Female,66.08
Algeria,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,65.99
Algeria,2015,Healthy life expectancy (HALE) at birth (years),Male,66.33
Algeria,2015,Healthy life expectancy (HALE) at birth (years),Female,65.67
Algeria,2010,Healthy life expectancy (HALE) at birth (years),Both sexes,65.53
Algeria,2010,Healthy life expectancy (HALE) at birth (years),Male,65.85
Algeria,2010,Healthy life expectancy (HALE) at birth (years),Female,65.22
Algeria,2000,Healthy life expectancy (HALE) at birth (years),Both sexes,62.71
Algeria,2000,Healthy life expectancy (HALE) at birth (years),Male,62.63
Algeria,2000,Healthy life expectancy (HALE) at birth (years),Female,62.8
Angola,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,54.84
Angola,2019,Healthy life expectancy (HALE) at birth (years),Male,53.55
Angola,2019,Healthy life expectancy (HALE) at birth (years),Female,56.21
Angola,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,53.66
Angola,2015,Healthy life expectancy (HALE) at birth (years),Male,52.18
Angola,2015,Healthy life expectancy (HALE) at birth (years),Female,55.28
Angola,2010,Healthy life expectancy (HALE) at birth (years),Both sexes,50.57
Angola,2010,Healthy life expectancy (HALE) at birth (years),Male,49.27
Angola,2010,Healthy life expectancy (HALE) at birth (years),Female,51.97
Angola,2000,Healthy life expectancy (HALE) at birth (years),Both sexes,42.87
Angola,2000,Healthy life expectancy (HALE) at birth (years),Male,41.18
Angola,2000,Healthy life expectancy (HALE) at birth (years),Female,44.74
Antigua and Barbuda,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.97
Antigua and Barbuda,2019,Healthy life expectancy (HALE) at birth (years),Male,66.25
Antigua and Barbuda,2019,Healthy life expectancy (HALE) at birth (years),Female,67.69
Antigua and Barbuda,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,66.81
Antigua and Barbuda,2015,Healthy life expectancy (HALE) at birth (years),Male,65.94
Antigua and Barbuda,2015,Healthy life expectancy (HALE) at birth (years),Female,67.66
Antigua and Barbuda,2010,Healthy life expectancy (HALE) at birth (years),Both sexes,66.7
Antigua and Barbuda,2010,Healthy life expectancy (HALE) at birth (years),Male,65.28
Antigua and Barbuda,2010,Healthy life expectancy (HALE) at birth (years),Female,68.09
Antigua and Barbuda,2000,Healthy life expectancy (HALE) at birth (years),Both sexes,65.53
Antigua and Barbuda,2000,Healthy life expectancy (HALE) at birth (years),Male,63.93
Antigua and Barbuda,2000,Healthy life expectancy (HALE) at birth (years),Female,67.04
Argentina,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,67.13
Argentina,2019,Healthy life expectancy (HALE) at birth (years),Male,65.4
Argentina,2019,Healthy life expectancy (HALE) at birth (years),Female,68.77
Argentina,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,66.86
Argentina,2015,Healthy life expectancy (HALE) at birth (years),Male,64.94
Argentina,2015,Healthy life expectancy (HALE) at birth (years),Female,68.7
Argentina,2010,Healthy life expectancy (HALE) at birth (years),Both sexes,66.3
Argentina,2010,Healthy life expectancy (HALE) at birth (years),Male,64.37
Argentina,2010,Healthy life expectancy (HALE) at birth (years),Female,68.17
Argentina,2000,Healthy life expectancy (HALE) at birth (years),Both sexes,65.14
Argentina,2000,Healthy life expectancy (HALE) at birth (years),Male,62.83
Argentina,2000,Healthy life expectancy (HALE) at birth (years),Female,67.46
Armenia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,67.12
Armenia,2019,Healthy life expectancy (HALE) at birth (years),Male,64.88
Armenia,2019,Healthy life expectancy (HALE) at birth (years),Female,69.1
Armenia,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,66
Armenia,2015,Healthy life expectancy (HALE) at birth (years),Male,63.67
Armenia,2015,Healthy life expectancy (HALE) at birth (years),Female,68.14
Armenia,2010,Healthy life expectancy (HALE) at birth (years),Both sexes,64.84
Armenia,2010,Healthy life expectancy (HALE) at birth (years),Male,62.36
Armenia,2010,Healthy life expectancy (HALE) at birth (years),Female,67.18
Armenia,2000,Healthy life expectancy (HALE) at birth (years),Both sexes,63.5
Armenia,2000,Healthy life expectancy (HALE) at birth (years),Male,61.19
Armenia,2000,Healthy life expectancy (HALE) at birth (years),Female,65.64
Australia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.93
Australia,2019,Healthy life expectancy (HALE) at birth (years),Male,70.15
Australia,2019,Healthy life expectancy (HALE) at birth (years),Female,71.73
Australia,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,70.56
Australia,2015,Healthy life expectancy (HALE) at birth (years),Male,69.74
Australia,2015,Healthy life expectancy (HALE) at birth (years),Female,71.4
Australia,2010,Healthy life expectancy (HALE) at birth (years),Both sexes,70.17
Australia,2010,Healthy life expectancy (HALE) at birth (years),Male,69.16
Australia,2010,Healthy life expectancy (HALE) at birth (years),Female,71.19
Australia,2000,Healthy life expectancy (HALE) at birth (years),Both sexes,68.57
Australia,2000,Healthy life expectancy (HALE) at birth (years),Male,67.16
Australia,2000,Healthy life expectancy (HALE) at birth (years),Female,69.97
Austria,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.94
Austria,2019,Healthy life expectancy (HALE) at birth (years),Male,69.93
Austria,2019,Healthy life expectancy (HALE) at birth (years),Female,71.9
Austria,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,70.39
Austria,2015,Healthy life expectancy (HALE) at birth (years),Male,69.17
Austria,2015,Healthy life expectancy (HALE) at birth (years),Female,71.56
Austria,2010,Healthy life expectancy (HALE) at birth (years),Both sexes,69.92
Austria,2010,Healthy life expectancy (HALE) at birth (years),Male,68.34
Austria,2010,Healthy life expectancy (HALE) at birth (years),Female,71.4
Austria,2000,Healthy life expectancy (HALE) at birth (years),Both sexes,68.18
Austria,2000,Healthy life expectancy (HALE) at birth (years),Male,66.35
Austria,2000,Healthy life expectancy (HALE) at birth (years),Female,69.81
Azerbaijan,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,63.65
Azerbaijan,2019,Healthy life expectancy (HALE) at birth (years),Male,62.08
Azerbaijan,2019,Healthy life expectancy (HALE) at birth (years),Female,65.22
Azerbaijan,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,63.09
Azerbaijan,2015,Healthy life expectancy (HALE) at birth (years),Male,61.5
Azerbaijan,2015,Healthy life expectancy (HALE) at birth (years),Female,64.72
Azerbaijan,2010,Healthy life expectancy (HALE) at birth (years),Both sexes,61.71
Azerbaijan,2010,Healthy life expectancy (HALE) at birth (years),Male,60.06
Azerbaijan,2010,Healthy life expectancy (HALE) at birth (years),Female,63.41
Azerbaijan,2000,Healthy life expectancy (HALE) at birth (years),Both sexes,58.5
Azerbaijan,2000,Healthy life expectancy (HALE) at birth (years),Male,56.62
Azerbaijan,2000,Healthy life expectancy (HALE) at birth (years),Female,60.41
Bahamas,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.35
Bahamas,2019,Healthy life expectancy (HALE) at birth (years),Male,62.26
Bahamas,2019,Healthy life expectancy (HALE) at birth (years),Female,66.47
Bahamas,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,64.17
Bahamas,2015,Healthy life expectancy (HALE) at birth (years),Male,62.18
Bahamas,2015,Healthy life expectancy (HALE) at birth (years),Female,66.16
Bahamas,2010,Healthy life expectancy (HALE) at birth (years),Both sexes,64.31
Bahamas,2010,Healthy life expectancy (HALE) at birth (years),Male,62.2
Bahamas,2010,Healthy life expectancy (HALE) at birth (years),Female,66.41
Bahamas,2000,Healthy life expectancy (HALE) at birth (years),Both sexes,62.69
Bahamas,2000,Healthy life expectancy (HALE) at birth (years),Male,60.57
Bahamas,2000,Healthy life expectancy (HALE) at birth (years),Female,64.78
Bahrain,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.88
Bahrain,2019,Healthy life expectancy (HALE) at birth (years),Male,65.98
Bahrain,2019,Healthy life expectancy (HALE) at birth (years),Female,65.49
Bahrain,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,66.24
Bahrain,2015,Healthy life expectancy (HALE) at birth (years),Male,66.55
Bahrain,2015,Healthy life expectancy (HALE) at birth (years),Female,65.55
Bahrain,2010,Healthy life expectancy (HALE) at birth (years),Both sexes,65.04
Bahrain,2010,Healthy life expectancy (HALE) at birth (years),Male,65.28
Bahrain,2010,Healthy life expectancy (HALE) at birth (years),Female,64.35
Bahrain,2000,Healthy life expectancy (HALE) at birth (years),Both sexes,61.88
Bahrain,2000,Healthy life expectancy (HALE) at birth (years),Male,61.98
Bahrain,2000,Healthy life expectancy (HALE) at birth (years),Female,61.63
Bangladesh,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.3
Bangladesh,2019,Healthy life expectancy (HALE) at birth (years),Male,64.25
Bangladesh,2019,Healthy life expectancy (HALE) at birth (years),Female,64.38
Bangladesh,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,63.76
Bangladesh,2015,Healthy life expectancy (HALE) at birth (years),Male,63.82
Bangladesh,2015,Healthy life expectancy (HALE) at birth (years),Female,63.74
Bangladesh,2010,Healthy life expectancy (HALE) at birth (years),Both sexes,61.22
Bangladesh,2010,Healthy life expectancy (HALE) at birth (years),Male,60.83
Bangladesh,2010,Healthy life expectancy (HALE) at birth (years),Female,61.71
Bangladesh,2000,Healthy life expectancy (HALE) at birth (years),Both sexes,57.05
Bangladesh,2000,Healthy life expectancy (HALE) at birth (years),Male,56.62
Bangladesh,2000,Healthy life expectancy (HALE) at birth (years),Female,57.55
Barbados,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.99
Barbados,2019,Healthy life expectancy (HALE) at birth (years),Male,66.25
Barbados,2019,Healthy life expectancy (HALE) at birth (years),Female,67.68
Barbados,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,67.21
Barbados,2015,Healthy life expectancy (HALE) at birth (years),Male,66.84
Barbados,2015,Healthy life expectancy (HALE) at birth (years),Female,67.55
Barbados,2010,Healthy life expectancy (HALE) at birth (years),Both sexes,67
Barbados,2010,Healthy life expectancy (HALE) at birth (years),Male,66.44
Barbados,2010,Healthy life expectancy (HALE) at birth (years),Female,67.52
Barbados,2000,Healthy life expectancy (HALE) at birth (years),Both sexes,65.96
Barbados,2000,Healthy life expectancy (HALE) at birth (years),Male,64.61
Barbados,2000,Healthy life expectancy (HALE) at birth (years),Female,67.22
Belarus,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.97
