Location,Period,Indicator,Dim1,Hale Expectency,Life expectany,,% OF HALE in life expectancy
Africa,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,56.04,64.49,86.89719336,87
Africa,2019,Healthy life expectancy (HALE) at birth (years),Male,55,62.37,88.18342152,88
Africa,2019,Healthy life expectancy (HALE) at birth (years),Female,57.09,66.65,85.6564141,86
Africa,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,54.42,62.56,86.98849105,87
Africa,2015,Healthy life expectancy (HALE) at birth (years),Male,53.38,60.47,88.27517777,88
Africa,2015,Healthy life expectancy (HALE) at birth (years),Female,55.47,64.69,85.74741073,86
Africa,2010,Healthy life expectancy (HALE) at birth (years),Both sexes,51.8,59.49,87.07345772,87
Africa,2010,Healthy life expectancy (HALE) at birth (years),Male,50.98,57.69,88.36886809,88
Africa,2010,Healthy life expectancy (HALE) at birth (years),Female,52.63,61.31,85.84244006,86
Africa,2000,Healthy life expectancy (HALE) at birth (years),Both sexes,45.8,52.65,86.98955366,87
Africa,2000,Healthy life expectancy (HALE) at birth (years),Male,45.03,51.06,88.19036428,88
Africa,2000,Healthy life expectancy (HALE) at birth (years),Female,46.62,54.31,85.84054502,86
Americas,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.17,77.16,85.75686884,86
Americas,2019,Healthy life expectancy (HALE) at birth (years),Male,64.83,74.49,87.03181635,87
Americas,2019,Healthy life expectancy (HALE) at birth (years),Female,67.51,79.84,84.55661323,85
Americas,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,66.03,76.78,85.99895806,86
Americas,2015,Healthy life expectancy (HALE) at birth (years),Male,64.62,74.05,87.26536124,87
Americas,2015,Healthy life expectancy (HALE) at birth (years),Female,67.43,79.52,84.79627767,85
Americas,2010,Healthy life expectancy (HALE) at birth (years),Both sexes,64.99,75.44,86.14793213,86
Americas,2010,Healthy life expectancy (HALE) at birth (years),Male,63.43,72.53,87.45346753,87
Americas,2010,Healthy life expectancy (HALE) at birth (years),Female,66.56,78.35,84.95213784,85
Americas,2000,Healthy life expectancy (HALE) at birth (years),Both sexes,64.09,74.12,86.46788991,86
Americas,2000,Healthy life expectancy (HALE) at birth (years),Male,62.48,71.13,87.83916772,88
Americas,2000,Healthy life expectancy (HALE) at birth (years),Female,65.69,77.1,85.20103761,85
