Location,Period,Indicator,Dim1,First Tooltip
Africa,2019,Life expectancy at birth (years),Both sexes,64.49
Africa,2019,Life expectancy at birth (years),Male,62.37
Africa,2019,Life expectancy at birth (years),Female,66.65
Africa,2015,Life expectancy at birth (years),Both sexes,62.56
Africa,2015,Life expectancy at birth (years),Male,60.47
Africa,2015,Life expectancy at birth (years),Female,64.69
Africa,2010,Life expectancy at birth (years),Both sexes,59.49
Africa,2010,Life expectancy at birth (years),Male,57.69
Africa,2010,Life expectancy at birth (years),Female,61.31
Africa,2000,Life expectancy at birth (years),Both sexes,52.65
Africa,2000,Life expectancy at birth (years),Male,51.06
Africa,2000,Life expectancy at birth (years),Female,54.31
Americas,2019,Life expectancy at birth (years),Both sexes,77.16
Americas,2019,Life expectancy at birth (years),Male,74.49
Americas,2019,Life expectancy at birth (years),Female,79.84
Americas,2015,Life expectancy at birth (years),Both sexes,76.78
Americas,2015,Life expectancy at birth (years),Male,74.05
Americas,2015,Life expectancy at birth (years),Female,79.52
Americas,2010,Life expectancy at birth (years),Both sexes,75.44
Americas,2010,Life expectancy at birth (years),Male,72.53
Americas,2010,Life expectancy at birth (years),Female,78.35
Americas,2000,Life expectancy at birth (years),Both sexes,74.12
Americas,2000,Life expectancy at birth (years),Male,71.13
Americas,2000,Life expectancy at birth (years),Female,77.1
South-East Asia,2019,Life expectancy at birth (years),Both sexes,71.44
South-East Asia,2019,Life expectancy at birth (years),Male,69.88
South-East Asia,2019,Life expectancy at birth (years),Female,73.1
South-East Asia,2015,Life expectancy at birth (years),Both sexes,70.2
South-East Asia,2015,Life expectancy at birth (years),Male,68.7
South-East Asia,2015,Life expectancy at birth (years),Female,71.78
South-East Asia,2010,Life expectancy at birth (years),Both sexes,68.11
South-East Asia,2010,Life expectancy at birth (years),Male,66.39
South-East Asia,2010,Life expectancy at birth (years),Female,69.99
South-East Asia,2000,Life expectancy at birth (years),Both sexes,63.35
South-East Asia,2000,Life expectancy at birth (years),Male,62.2
South-East Asia,2000,Life expectancy at birth (years),Female,64.58
Europe,2019,Life expectancy at birth (years),Both sexes,78.24
Europe,2019,Life expectancy at birth (years),Male,75.09
Europe,2019,Life expectancy at birth (years),Female,81.29
Europe,2015,Life expectancy at birth (years),Both sexes,77.09
Europe,2015,Life expectancy at birth (years),Male,73.8
Europe,2015,Life expectancy at birth (years),Female,80.31
Europe,2010,Life expectancy at birth (years),Both sexes,75.72
Europe,2010,Life expectancy at birth (years),Male,72.14
Europe,2010,Life expectancy at birth (years),Female,79.27
Europe,2000,Life expectancy at birth (years),Both sexes,72.51
Europe,2000,Life expectancy at birth (years),Male,68.44
Europe,2000,Life expectancy at birth (years),Female,76.64
Eastern Mediterranean,2019,Life expectancy at birth (years),Both sexes,69.74
Eastern Mediterranean,2019,Life expectancy at birth (years),Male,68.31
Eastern Mediterranean,2019,Life expectancy at birth (years),Female,71.31
Eastern Mediterranean,2015,Life expectancy at birth (years),Both sexes,68.39
Eastern Mediterranean,2015,Life expectancy at birth (years),Male,66.81
Eastern Mediterranean,2015,Life expectancy at birth (years),Female,70.14
Eastern Mediterranean,2010,Life expectancy at birth (years),Both sexes,67.58
Eastern Mediterranean,2010,Life expectancy at birth (years),Male,66.03
Eastern Mediterranean,2010,Life expectancy at birth (years),Female,69.27
Eastern Mediterranean,2000,Life expectancy at birth (years),Both sexes,65.02
Eastern Mediterranean,2000,Life expectancy at birth (years),Male,63.52
Eastern Mediterranean,2000,Life expectancy at birth (years),Female,66.67
Western Pacific,2019,Life expectancy at birth (years),Both sexes,77.66
Western Pacific,2019,Life expectancy at birth (years),Male,74.76
Western Pacific,2019,Life expectancy at birth (years),Female,80.83
Western Pacific,2015,Life expectancy at birth (years),Both sexes,76.98
Western Pacific,2015,Life expectancy at birth (years),Male,73.96
Western Pacific,2015,Life expectancy at birth (years),Female,80.32
Western Pacific,2010,Life expectancy at birth (years),Both sexes,75.46
Western Pacific,2010,Life expectancy at birth (years),Male,72.52
Western Pacific,2010,Life expectancy at birth (years),Female,78.75
Western Pacific,2000,Life expectancy at birth (years),Both sexes,72.42
Western Pacific,2000,Life expectancy at birth (years),Male,69.8
Western Pacific,2000,Life expectancy at birth (years),Female,75.33
