Location,Period,Indicator,Dim1,First Tooltip
Afghanistan,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.21
Afghanistan,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,0.36
Afghanistan,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,0.055
Afghanistan,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.21
Afghanistan,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,0.35
Afghanistan,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,0.054
Afghanistan,2010,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.21
Afghanistan,2010,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,0.36
Afghanistan,2010,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,0.054
Albania,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.17
Albania,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,11.63
Albania,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,2.68
Albania,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.74
Albania,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,10.92
Albania,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,2.53
Albania,2010,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.69
Albania,2010,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,12.47
Albania,2010,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,2.98
Albania,2005,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.65
Albania,2005,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,12.41
Albania,2005,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,2.96
Albania,2000,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.57
Albania,2000,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,10.6
Albania,2000,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,2.5
Algeria,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.95
Algeria,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,1.63
Algeria,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,0.25
Algeria,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.93
Algeria,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,1.61
Algeria,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,0.25
Algeria,2010,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.65
Algeria,2010,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,1.12
Algeria,2010,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,0.18
Algeria,2005,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.81
Algeria,2005,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,1.39
Algeria,2005,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,0.22
Algeria,2000,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.58
Algeria,2000,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,1
Algeria,2000,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,0.16
Andorra,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.02
Andorra,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,17.17
Andorra,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,5.19
Andorra,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.01
Andorra,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,17.16
Andorra,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,5.19
Andorra,2010,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.11
Andorra,2010,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,17.13
Andorra,2010,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,5.3
Andorra,2005,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.55
Andorra,2005,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,19.18
Andorra,2005,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,6.2
Andorra,2000,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,13.28
Andorra,2000,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,20.35
Andorra,2000,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,6.57
Angola,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.94
Angola,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,11.05
Angola,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,3.1
Angola,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.96
Angola,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,12.64
Angola,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,3.58
Angola,2010,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,8.16
Angola,2010,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,12.92
Angola,2010,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,3.69
Angola,2005,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.89
Angola,2005,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,7.81
Angola,2005,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Female,2.15
Angola,2000,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.76
Angola,2000,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Male,4.42
