Location,Period,Indicator,First Tooltip
Afghanistan,2018,Births attended by skilled health personnel (%),58.8
Afghanistan,2017,Births attended by skilled health personnel (%),53.4
Afghanistan,2015,Births attended by skilled health personnel (%),50.5
Afghanistan,2014,Births attended by skilled health personnel (%),45.2
Afghanistan,2012,Births attended by skilled health personnel (%),39.9
Afghanistan,2011,Births attended by skilled health personnel (%),38.6
Afghanistan,2010,Births attended by skilled health personnel (%),34.3
Afghanistan,2003,Births attended by skilled health personnel (%),14.3
Albania,2018,Births attended by skilled health personnel (%),99.8
Albania,2009,Births attended by skilled health personnel (%),99.3
Albania,2005,Births attended by skilled health personnel (%),99.8
Algeria,2013,Births attended by skilled health personnel (%),96.6
Algeria,2006,Births attended by skilled health personnel (%),95.2
Andorra,2017,Births attended by skilled health personnel (%),100
Andorra,2016,Births attended by skilled health personnel (%),100
Andorra,2015,Births attended by skilled health personnel (%),100
Angola,2016,Births attended by skilled health personnel (%),46.6
Angola,2007,Births attended by skilled health personnel (%),47.3
Antigua and Barbuda,2017,Births attended by skilled health personnel (%),100
Antigua and Barbuda,2015,Births attended by skilled health personnel (%),100
Antigua and Barbuda,2014,Births attended by skilled health personnel (%),100
Antigua and Barbuda,2013,Births attended by skilled health personnel (%),100
Antigua and Barbuda,2012,Births attended by skilled health personnel (%),100
Antigua and Barbuda,2010,Births attended by skilled health personnel (%),100
Antigua and Barbuda,2009,Births attended by skilled health personnel (%),100
Antigua and Barbuda,2008,Births attended by skilled health personnel (%),100
Antigua and Barbuda,2007,Births attended by skilled health personnel (%),100
Antigua and Barbuda,2006,Births attended by skilled health personnel (%),99.9
Antigua and Barbuda,2005,Births attended by skilled health personnel (%),99.9
Antigua and Barbuda,2004,Births attended by skilled health personnel (%),100
Antigua and Barbuda,2003,Births attended by skilled health personnel (%),99
Antigua and Barbuda,2001,Births attended by skilled health personnel (%),100
Antigua and Barbuda,2000,Births attended by skilled health personnel (%),99.9
Argentina,2017,Births attended by skilled health personnel (%),93.9
Argentina,2016,Births attended by skilled health personnel (%),98.4
Argentina,2015,Births attended by skilled health personnel (%),99.6
Argentina,2014,Births attended by skilled health personnel (%),99.6
Argentina,2013,Births attended by skilled health personnel (%),97
Argentina,2012,Births attended by skilled health personnel (%),98.2
Argentina,2011,Births attended by skilled health personnel (%),97.1
Argentina,2010,Births attended by skilled health personnel (%),95
Argentina,2009,Births attended by skilled health personnel (%),97.9
Argentina,2008,Births attended by skilled health personnel (%),94.8
Argentina,2007,Births attended by skilled health personnel (%),99.4
Argentina,2006,Births attended by skilled health personnel (%),99.4
Argentina,2005,Births attended by skilled health personnel (%),99.1
Argentina,2004,Births attended by skilled health personnel (%),99.1
Argentina,2003,Births attended by skilled health personnel (%),98.7
Argentina,2002,Births attended by skilled health personnel (%),98.9
Argentina,2001,Births attended by skilled health personnel (%),98.4
Argentina,2000,Births attended by skilled health personnel (%),99.1
Armenia,2016,Births attended by skilled health personnel (%),99.8
Armenia,2014,Births attended by skilled health personnel (%),100
Armenia,2013,Births attended by skilled health personnel (%),100
Armenia,2012,Births attended by skilled health personnel (%),100
Armenia,2011,Births attended by skilled health personnel (%),100
Armenia,2010,Births attended by skilled health personnel (%),99.5
Armenia,2009,Births attended by skilled health personnel (%),100
Armenia,2008,Births attended by skilled health personnel (%),99.9
Armenia,2007,Births attended by skilled health personnel (%),99.9
Armenia,2006,Births attended by skilled health personnel (%),99.7
Armenia,2005,Births attended by skilled health personnel (%),99.6
Armenia,2004,Births attended by skilled health personnel (%),99.5
Armenia,2003,Births attended by skilled health personnel (%),99.2
Armenia,2002,Births attended by skilled health personnel (%),98.8
Armenia,2001,Births attended by skilled health personnel (%),98.4
Australia,2017,Births attended by skilled health personnel (%),96.7
Australia,2016,Births attended by skilled health personnel (%),97
Australia,2015,Births attended by skilled health personnel (%),99.7
Australia,2014,Births attended by skilled health personnel (%),99.7
Australia,2013,Births attended by skilled health personnel (%),99.3
Australia,2012,Births attended by skilled health personnel (%),99.2
Australia,2011,Births attended by skilled health personnel (%),99.1
Australia,2010,Births attended by skilled health personnel (%),99.1
Australia,2009,Births attended by skilled health personnel (%),99.1
Australia,2008,Births attended by skilled health personnel (%),99.1
Australia,2007,Births attended by skilled health personnel (%),99.2
Australia,2006,Births attended by skilled health personnel (%),99.3
Australia,2005,Births attended by skilled health personnel (%),99.4
Australia,2004,Births attended by skilled health personnel (%),99.3
Australia,2003,Births attended by skilled health personnel (%),99.3
Australia,2002,Births attended by skilled health personnel (%),99.3
Australia,2001,Births attended by skilled health personnel (%),99.3
Australia,2000,Births attended by skilled health personnel (%),99.3
Austria,2018,Births attended by skilled health personnel (%),98.4
Austria,2017,Births attended by skilled health personnel (%),98.4
Austria,2016,Births attended by skilled health personnel (%),98.4
Austria,2015,Births attended by skilled health personnel (%),98.5
Austria,2014,Births attended by skilled health personnel (%),98.5
Austria,2013,Births attended by skilled health personnel (%),98.5
Austria,2012,Births attended by skilled health personnel (%),98.5
Austria,2011,Births attended by skilled health personnel (%),98.6
Austria,2010,Births attended by skilled health personnel (%),98.5
Austria,2009,Births attended by skilled health personnel (%),98.6
Austria,2008,Births attended by skilled health personnel (%),98.6
Austria,2007,Births attended by skilled health personnel (%),98.5
Austria,2006,Births attended by skilled health personnel (%),98.6
Austria,2005,Births attended by skilled health personnel (%),98.6
Austria,2004,Births attended by skilled health personnel (%),98.4
Austria,2003,Births attended by skilled health personnel (%),98.4
Austria,2002,Births attended by skilled health personnel (%),98.4
Austria,2001,Births attended by skilled health personnel (%),98.3
Austria,2000,Births attended by skilled health personnel (%),98.3
Azerbaijan,2018,Births attended by skilled health personnel (%),99.4
Azerbaijan,2017,Births attended by skilled health personnel (%),99.8
Azerbaijan,2016,Births attended by skilled health personnel (%),99.8
Azerbaijan,2015,Births attended by skilled health personnel (%),99.8
Azerbaijan,2014,Births attended by skilled health personnel (%),99.9
Azerbaijan,2013,Births attended by skilled health personnel (%),99.9
Azerbaijan,2012,Births attended by skilled health personnel (%),99.8
Azerbaijan,2011,Births attended by skilled health personnel (%),99.7
Azerbaijan,2010,Births attended by skilled health personnel (%),99.4
Azerbaijan,2009,Births attended by skilled health personnel (%),99.8
Azerbaijan,2008,Births attended by skilled health personnel (%),98
Azerbaijan,2007,Births attended by skilled health personnel (%),93
Azerbaijan,2006,Births attended by skilled health personnel (%),95.8
Azerbaijan,2005,Births attended by skilled health personnel (%),94.4
Azerbaijan,2004,Births attended by skilled health personnel (%),95.9
Azerbaijan,2003,Births attended by skilled health personnel (%),95.8
Azerbaijan,2002,Births attended by skilled health personnel (%),94
Azerbaijan,2001,Births attended by skilled health personnel (%),94
Azerbaijan,2000,Births attended by skilled health personnel (%),92.1
Bahamas,2016,Births attended by skilled health personnel (%),99
Bahamas,2015,Births attended by skilled health personnel (%),98
Bahamas,2014,Births attended by skilled health personnel (%),99.9
Bahamas,2013,Births attended by skilled health personnel (%),98
Bahamas,2011,Births attended by skilled health personnel (%),99
Bahamas,2010,Births attended by skilled health personnel (%),99
Bahamas,2008,Births attended by skilled health personnel (%),99
Bahamas,2007,Births attended by skilled health personnel (%),99
Bahamas,2006,Births attended by skilled health personnel (%),99
Bahamas,2004,Births attended by skilled health personnel (%),98
Bahamas,2003,Births attended by skilled health personnel (%),99
Bahamas,2002,Births attended by skilled health personnel (%),99
Bahamas,2000,Births attended by skilled health personnel (%),99
Bahrain,2017,Births attended by skilled health personnel (%),99.9
Bahrain,2016,Births attended by skilled health personnel (%),99.7
Bahrain,2015,Births attended by skilled health personnel (%),99.9
Bahrain,2014,Births attended by skilled health personnel (%),99.8
Bahrain,2013,Births attended by skilled health personnel (%),99.8
Bahrain,2012,Births attended by skilled health personnel (%),99.8
Bahrain,2011,Births attended by skilled health personnel (%),99.6
Bahrain,2010,Births attended by skilled health personnel (%),99.3
Bahrain,2009,Births attended by skilled health personnel (%),99.4
Bahrain,2008,Births attended by skilled health personnel (%),97.5
Bahrain,2007,Births attended by skilled health personnel (%),97.4
Bahrain,2006,Births attended by skilled health personnel (%),97.5
Bahrain,2005,Births attended by skilled health personnel (%),97.5
Bahrain,2004,Births attended by skilled health personnel (%),97.7
Bahrain,2003,Births attended by skilled health personnel (%),97.8
Bahrain,2002,Births attended by skilled health personnel (%),97.6
Bahrain,2001,Births attended by skilled health personnel (%),97.5
Bahrain,2000,Births attended by skilled health personnel (%),97.7
Bangladesh,2018,Births attended by skilled health personnel (%),52.7
Bangladesh,2017,Births attended by skilled health personnel (%),67.8
Bangladesh,2016,Births attended by skilled health personnel (%),49.8
Bangladesh,2014,Births attended by skilled health personnel (%),42.1
Bangladesh,2013,Births attended by skilled health personnel (%),34.4
Bangladesh,2011,Births attended by skilled health personnel (%),31.7
Bangladesh,2010,Births attended by skilled health personnel (%),26.5
Bangladesh,2007,Births attended by skilled health personnel (%),18
Bangladesh,2006,Births attended by skilled health personnel (%),20.1
Bangladesh,2003,Births attended by skilled health personnel (%),13.9
Barbados,2016,Births attended by skilled health personnel (%),99.1
Barbados,2015,Births attended by skilled health personnel (%),99
Barbados,2014,Births attended by skilled health personnel (%),99.8
Barbados,2013,Births attended by skilled health personnel (%),98.6
Barbados,2012,Births attended by skilled health personnel (%),98.9
Barbados,2011,Births attended by skilled health personnel (%),100
Barbados,2008,Births attended by skilled health personnel (%),100
Barbados,2007,Births attended by skilled health personnel (%),100
Barbados,2006,Births attended by skilled health personnel (%),100
Barbados,2005,Births attended by skilled health personnel (%),100
Barbados,2004,Births attended by skilled health personnel (%),100
Barbados,2003,Births attended by skilled health personnel (%),100
Barbados,2002,Births attended by skilled health personnel (%),100
Barbados,2000,Births attended by skilled health personnel (%),98
Belarus,2014,Births attended by skilled health personnel (%),99.8
Belarus,2013,Births attended by skilled health personnel (%),99.8
Belarus,2012,Births attended by skilled health personnel (%),99.8
Belarus,2011,Births attended by skilled health personnel (%),99.8
Belarus,2010,Births attended by skilled health personnel (%),99.9
Belarus,2009,Births attended by skilled health personnel (%),99.9
Belarus,2008,Births attended by skilled health personnel (%),99.9
Belarus,2007,Births attended by skilled health personnel (%),99.9
Belarus,2006,Births attended by skilled health personnel (%),99.9
Belarus,2005,Births attended by skilled health personnel (%),99.9
Belarus,2004,Births attended by skilled health personnel (%),99.9
Belarus,2003,Births attended by skilled health personnel (%),99.9
Belarus,2002,Births attended by skilled health personnel (%),99.9
Belarus,2001,Births attended by skilled health personnel (%),99.9
Belarus,2000,Births attended by skilled health personnel (%),99.9
Belize,2017,Births attended by skilled health personnel (%),94
Belize,2016,Births attended by skilled health personnel (%),94.4
Belize,2015,Births attended by skilled health personnel (%),89
Belize,2013,Births attended by skilled health personnel (%),94.2
Belize,2011,Births attended by skilled health personnel (%),96.2
Belize,2010,Births attended by skilled health personnel (%),94
Belize,2009,Births attended by skilled health personnel (%),93.5
Belize,2008,Births attended by skilled health personnel (%),94.9
Belize,2007,Births attended by skilled health personnel (%),90.7
Belize,2006,Births attended by skilled health personnel (%),95.8
Benin,2018,Births attended by skilled health personnel (%),78.1
Benin,2014,Births attended by skilled health personnel (%),77.2
Benin,2012,Births attended by skilled health personnel (%),80.9
Benin,2006,Births attended by skilled health personnel (%),74
Bhutan,2018,Births attended by skilled health personnel (%),96.2
Bhutan,2017,Births attended by skilled health personnel (%),97.2
Bhutan,2016,Births attended by skilled health personnel (%),89
Bhutan,2015,Births attended by skilled health personnel (%),89
Bhutan,2014,Births attended by skilled health personnel (%),89
Bhutan,2013,Births attended by skilled health personnel (%),89
Bhutan,2012,Births attended by skilled health personnel (%),81
Bhutan,2011,Births attended by skilled health personnel (%),70
Bhutan,2010,Births attended by skilled health personnel (%),64.5
Bhutan,2009,Births attended by skilled health personnel (%),66
Bhutan,2008,Births attended by skilled health personnel (%),66.3
Bhutan,2007,Births attended by skilled health personnel (%),53.6
Bhutan,2006,Births attended by skilled health personnel (%),57.1
Bhutan,2005,Births attended by skilled health personnel (%),52.3
Bhutan,2003,Births attended by skilled health personnel (%),56.1
Bolivia (Plurinational State of),2018,Births attended by skilled health personnel (%),71.5
Bolivia (Plurinational State of),2017,Births attended by skilled health personnel (%),99.5
Bolivia (Plurinational State of),2016,Births attended by skilled health personnel (%),89.8
Bolivia (Plurinational State of),2015,Births attended by skilled health personnel (%),72.8
Bolivia (Plurinational State of),2013,Births attended by skilled health personnel (%),73.5
Bolivia (Plurinational State of),2012,Births attended by skilled health personnel (%),84.8
Bolivia (Plurinational State of),2011,Births attended by skilled health personnel (%),84
Bolivia (Plurinational State of),2008,Births attended by skilled health personnel (%),71.1
Bosnia and Herzegovina,2018,Births attended by skilled health personnel (%),99.9
Bosnia and Herzegovina,2017,Births attended by skilled health personnel (%),99.9
Bosnia and Herzegovina,2016,Births attended by skilled health personnel (%),99.9
Bosnia and Herzegovina,2015,Births attended by skilled health personnel (%),99.9
Bosnia and Herzegovina,2014,Births attended by skilled health personnel (%),99.9
Bosnia and Herzegovina,2012,Births attended by skilled health personnel (%),99.9
Bosnia and Herzegovina,2011,Births attended by skilled health personnel (%),99.9
Bosnia and Herzegovina,2010,Births attended by skilled health personnel (%),99.9
Bosnia and Herzegovina,2009,Births attended by skilled health personnel (%),99.9
Bosnia and Herzegovina,2008,Births attended by skilled health personnel (%),99.9
Bosnia and Herzegovina,2007,Births attended by skilled health personnel (%),99.9
Bosnia and Herzegovina,2006,Births attended by skilled health personnel (%),99.9
Bosnia and Herzegovina,2005,Births attended by skilled health personnel (%),99.9
Bosnia and Herzegovina,2004,Births attended by skilled health personnel (%),99.9
Bosnia and Herzegovina,2003,Births attended by skilled health personnel (%),99.9
Bosnia and Herzegovina,2002,Births attended by skilled health personnel (%),99.9
Bosnia and Herzegovina,2001,Births attended by skilled health personnel (%),99.9
Bosnia and Herzegovina,2000,Births attended by skilled health personnel (%),98.9
Botswana,2017,Births attended by skilled health personnel (%),99.8
Botswana,2016,Births attended by skilled health personnel (%),99.7
Botswana,2015,Births attended by skilled health personnel (%),99.7
Botswana,2014,Births attended by skilled health personnel (%),99.5
Botswana,2013,Births attended by skilled health personnel (%),99.9
Botswana,2012,Births attended by skilled health personnel (%),99.8
Botswana,2011,Births attended by skilled health personnel (%),99.8
Botswana,2010,Births attended by skilled health personnel (%),99.1
Botswana,2009,Births attended by skilled health personnel (%),99.5
Botswana,2008,Births attended by skilled health personnel (%),98.3
Botswana,2007,Births attended by skilled health personnel (%),94.6
Botswana,2006,Births attended by skilled health personnel (%),99.3
Botswana,2005,Births attended by skilled health personnel (%),94
Botswana,2004,Births attended by skilled health personnel (%),97.3
Botswana,2003,Births attended by skilled health personnel (%),96.1
Botswana,2002,Births attended by skilled health personnel (%),96.5
Botswana,2001,Births attended by skilled health personnel (%),92
Botswana,2000,Births attended by skilled health personnel (%),97.3
Brazil,2017,Births attended by skilled health personnel (%),99.1
Brazil,2016,Births attended by skilled health personnel (%),99.1
Brazil,2015,Births attended by skilled health personnel (%),99.1
Brazil,2014,Births attended by skilled health personnel (%),99.1
Brazil,2013,Births attended by skilled health personnel (%),99.1
Brazil,2012,Births attended by skilled health personnel (%),99
Brazil,2011,Births attended by skilled health personnel (%),99
Brazil,2010,Births attended by skilled health personnel (%),98.9
Brazil,2009,Births attended by skilled health personnel (%),98.9
Brazil,2008,Births attended by skilled health personnel (%),98.8
Brazil,2007,Births attended by skilled health personnel (%),98.6
Brazil,2006,Births attended by skilled health personnel (%),98.6
Brazil,2005,Births attended by skilled health personnel (%),98.6
Brazil,2004,Births attended by skilled health personnel (%),98.6
Brazil,2003,Births attended by skilled health personnel (%),98.4
