Location,Period,Indicator,Dim1,First Tooltip
Afghanistan,2016,Crude suicide rates (per 100 000 population),Both sexes,0
Afghanistan,2016,Crude suicide rates (per 100 000 population),Male,0
Afghanistan,2016,Crude suicide rates (per 100 000 population),Female,0
Afghanistan,2015,Crude suicide rates (per 100 000 population),Both sexes,4.8
Afghanistan,2015,Crude suicide rates (per 100 000 population),Male,7.8
Afghanistan,2015,Crude suicide rates (per 100 000 population),Female,1.5
Afghanistan,2010,Crude suicide rates (per 100 000 population),Both sexes,5.1
Afghanistan,2010,Crude suicide rates (per 100 000 population),Male,8.6
Afghanistan,2010,Crude suicide rates (per 100 000 population),Female,1.4
Afghanistan,2005,Crude suicide rates (per 100 000 population),Both sexes,6.3
Afghanistan,2005,Crude suicide rates (per 100 000 population),Male,10.8
Afghanistan,2005,Crude suicide rates (per 100 000 population),Female,1.5
Afghanistan,2000,Crude suicide rates (per 100 000 population),Both sexes,5.7
Afghanistan,2000,Crude suicide rates (per 100 000 population),Male,10
Afghanistan,2000,Crude suicide rates (per 100 000 population),Female,1
Albania,2016,Crude suicide rates (per 100 000 population),Both sexes,0
Albania,2016,Crude suicide rates (per 100 000 population),Male,0
Albania,2016,Crude suicide rates (per 100 000 population),Female,0
Albania,2015,Crude suicide rates (per 100 000 population),Both sexes,6
Albania,2015,Crude suicide rates (per 100 000 population),Male,7.6
Albania,2015,Crude suicide rates (per 100 000 population),Female,4.4
Albania,2010,Crude suicide rates (per 100 000 population),Both sexes,7.8
Albania,2010,Crude suicide rates (per 100 000 population),Male,9.5
Albania,2010,Crude suicide rates (per 100 000 population),Female,6.1
Albania,2005,Crude suicide rates (per 100 000 population),Both sexes,6.7
Albania,2005,Crude suicide rates (per 100 000 population),Male,7.7
Albania,2005,Crude suicide rates (per 100 000 population),Female,5.7
Albania,2000,Crude suicide rates (per 100 000 population),Both sexes,5.5
Albania,2000,Crude suicide rates (per 100 000 population),Male,7.4
Albania,2000,Crude suicide rates (per 100 000 population),Female,3.5
Algeria,2016,Crude suicide rates (per 100 000 population),Both sexes,0
Algeria,2016,Crude suicide rates (per 100 000 population),Male,0
Algeria,2016,Crude suicide rates (per 100 000 population),Female,0
Algeria,2015,Crude suicide rates (per 100 000 population),Both sexes,3.2
Algeria,2015,Crude suicide rates (per 100 000 population),Male,4.8
Algeria,2015,Crude suicide rates (per 100 000 population),Female,1.7
Algeria,2010,Crude suicide rates (per 100 000 population),Both sexes,3.3
Algeria,2010,Crude suicide rates (per 100 000 population),Male,4.9
Algeria,2010,Crude suicide rates (per 100 000 population),Female,1.8
Algeria,2005,Crude suicide rates (per 100 000 population),Both sexes,3.8
Algeria,2005,Crude suicide rates (per 100 000 population),Male,5.3
