Location,Indicator,Period,First Tooltip
Afghanistan,Data availability for UHC index of essential service coverage (%),2013-2017,0.49
Albania,Data availability for UHC index of essential service coverage (%),2013-2017,0.31
Algeria,Data availability for UHC index of essential service coverage (%),2013-2017,0.36
Angola,Data availability for UHC index of essential service coverage (%),2013-2017,0.31
Antigua and Barbuda,Data availability for UHC index of essential service coverage (%),2013-2017,0.24
Argentina,Data availability for UHC index of essential service coverage (%),2013-2017,0.34
Armenia,Data availability for UHC index of essential service coverage (%),2013-2017,0.44
Australia,Data availability for UHC index of essential service coverage (%),2013-2017,0.54
Austria,Data availability for UHC index of essential service coverage (%),2013-2017,0.41
Azerbaijan,Data availability for UHC index of essential service coverage (%),2013-2017,0.33
Bahamas,Data availability for UHC index of essential service coverage (%),2013-2017,0.33
Bahrain,Data availability for UHC index of essential service coverage (%),2013-2017,0.33
Bangladesh,Data availability for UHC index of essential service coverage (%),2013-2017,0.53
Barbados,Data availability for UHC index of essential service coverage (%),2013-2017,0.37
Belarus,Data availability for UHC index of essential service coverage (%),2013-2017,0.43
Belgium,Data availability for UHC index of essential service coverage (%),2013-2017,0.44
Belize,Data availability for UHC index of essential service coverage (%),2013-2017,0.36
Benin,Data availability for UHC index of essential service coverage (%),2013-2017,0.41
Bhutan,Data availability for UHC index of essential service coverage (%),2013-2017,0.41
Bolivia (Plurinational State of),Data availability for UHC index of essential service coverage (%),2013-2017,0.5
Bosnia and Herzegovina,Data availability for UHC index of essential service coverage (%),2013-2017,0.36
Botswana,Data availability for UHC index of essential service coverage (%),2013-2017,0.36
Brazil,Data availability for UHC index of essential service coverage (%),2013-2017,0.43
Brunei Darussalam,Data availability for UHC index of essential service coverage (%),2013-2017,0.36
Bulgaria,Data availability for UHC index of essential service coverage (%),2013-2017,0.43
Burkina Faso,Data availability for UHC index of essential service coverage (%),2013-2017,0.44
Burundi,Data availability for UHC index of essential service coverage (%),2013-2017,0.4
Cabo Verde,Data availability for UHC index of essential service coverage (%),2013-2017,0.33
Cambodia,Data availability for UHC index of essential service coverage (%),2013-2017,0.44
Cameroon,Data availability for UHC index of essential service coverage (%),2013-2017,0.34
Canada,Data availability for UHC index of essential service coverage (%),2013-2017,0.4
Central African Republic,Data availability for UHC index of essential service coverage (%),2013-2017,0.29
Chad,Data availability for UHC index of essential service coverage (%),2013-2017,0.36
Chile,Data availability for UHC index of essential service coverage (%),2013-2017,0.43
China,Data availability for UHC index of essential service coverage (%),2013-2017,0.39
Colombia,Data availability for UHC index of essential service coverage (%),2013-2017,0.54
Comoros,Data availability for UHC index of essential service coverage (%),2013-2017,0.21
Congo,Data availability for UHC index of essential service coverage (%),2013-2017,0.33
Costa Rica,Data availability for UHC index of essential service coverage (%),2013-2017,0.47
Côte d’Ivoire,Data availability for UHC index of essential service coverage (%),2013-2017,0.37
Croatia,Data availability for UHC index of essential service coverage (%),2013-2017,0.51
Cuba,Data availability for UHC index of essential service coverage (%),2013-2017,0.5
Cyprus,Data availability for UHC index of essential service coverage (%),2013-2017,0.41
Czechia,Data availability for UHC index of essential service coverage (%),2013-2017,0.43
Democratic People's Republic of Korea,Data availability for UHC index of essential service coverage (%),2013-2017,0.31
Democratic Republic of the Congo,Data availability for UHC index of essential service coverage (%),2013-2017,0.36
Denmark,Data availability for UHC index of essential service coverage (%),2013-2017,0.51
Djibouti,Data availability for UHC index of essential service coverage (%),2013-2017,0.36
Dominican Republic,Data availability for UHC index of essential service coverage (%),2013-2017,0.51
Ecuador,Data availability for UHC index of essential service coverage (%),2013-2017,0.46
Egypt,Data availability for UHC index of essential service coverage (%),2013-2017,0.5
El Salvador,Data availability for UHC index of essential service coverage (%),2013-2017,0.51
Equatorial Guinea,Data availability for UHC index of essential service coverage (%),2013-2017,0.23
Eritrea,Data availability for UHC index of essential service coverage (%),2013-2017,0.29
Estonia,Data availability for UHC index of essential service coverage (%),2013-2017,0.6
Eswatini,Data availability for UHC index of essential service coverage (%),2013-2017,0.4
Ethiopia,Data availability for UHC index of essential service coverage (%),2013-2017,0.49
Fiji,Data availability for UHC index of essential service coverage (%),2013-2017,0.29
Finland,Data availability for UHC index of essential service coverage (%),2013-2017,0.51
France,Data availability for UHC index of essential service coverage (%),2013-2017,0.46
Gabon,Data availability for UHC index of essential service coverage (%),2013-2017,0.26
