Location,Period,Indicator,Dim1,First Tooltip
Afghanistan,2019,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,46.51 [37.71-55.82]
Afghanistan,2019,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,49.8 [40.2-59.95]
Afghanistan,2019,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,43.05 [34.82-51.96]
Afghanistan,2018,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,48.04 [39.94-56.32]
Afghanistan,2018,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,51.35 [42.56-60.4]
Afghanistan,2018,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,44.56 [36.88-52.43]
Afghanistan,2017,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,49.61 [42.08-57.23]
Afghanistan,2017,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,52.95 [44.77-61.25]
Afghanistan,2017,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,46.12 [38.95-53.2]
Afghanistan,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,51.32 [44.36-58.38]
Afghanistan,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,54.73 [47.25-62.5]
Afghanistan,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,47.75 [41.01-54.38]
Afghanistan,2015,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,53.17 [46.81-59.79]
Afghanistan,2015,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,56.61 [49.71-63.84]
Afghanistan,2015,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,49.54 [43.39-55.94]
Afghanistan,2014,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,55.16 [49.34-61.39]
Afghanistan,2014,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,58.65 [52.31-65.47]
Afghanistan,2014,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,51.43 [45.84-57.5]
Afghanistan,2013,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,57.23 [51.91-63.11]
Afghanistan,2013,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,60.85 [54.91-67.27]
Afghanistan,2013,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,53.43 [48.2-59.19]
Afghanistan,2012,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,59.45 [54.35-65.03]
Afghanistan,2012,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,63.09 [57.49-69.19]
Afghanistan,2012,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,55.56 [50.63-61.1]
Afghanistan,2011,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,61.73 [56.92-67.09]
Afghanistan,2011,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,65.46 [60.07-71.37]
Afghanistan,2011,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,57.73 [53.04-63.1]
Afghanistan,2010,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,64.1 [59.42-69.27]
Afghanistan,2010,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,67.95 [62.75-73.63]
Afghanistan,2010,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,60.02 [55.48-65.16]
Afghanistan,2009,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,66.53 [61.92-71.67]
Afghanistan,2009,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,70.51 [65.41-76.18]
Afghanistan,2009,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,62.32 [57.85-67.43]
Afghanistan,2008,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,69.04 [64.57-74.19]
Afghanistan,2008,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,73.17 [68.09-78.83]
Afghanistan,2008,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,64.7 [60.24-69.79]
Afghanistan,2007,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,71.66 [67.07-76.79]
Afghanistan,2007,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,75.92 [70.75-81.61]
Afghanistan,2007,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,67.21 [62.72-72.32]
Afghanistan,2006,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,74.31 [69.61-79.64]
Afghanistan,2006,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,78.7 [73.41-84.5]
Afghanistan,2006,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,69.72 [65.09-75]
Afghanistan,2005,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,76.99 [72.15-82.47]
Afghanistan,2005,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,81.44 [76-87.48]
Afghanistan,2005,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,72.32 [67.54-77.68]
Afghanistan,2004,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,79.65 [74.67-85.42]
Afghanistan,2004,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,84.24 [78.7-90.54]
Afghanistan,2004,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,74.85 [69.93-80.45]
Afghanistan,2003,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,82.3 [77.09-88.3]
Afghanistan,2003,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,87.03 [81.24-93.51]
Afghanistan,2003,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,77.4 [72.31-83.28]
Afghanistan,2002,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,84.93 [79.54-91.13]
Afghanistan,2002,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,89.73 [83.76-96.46]
Afghanistan,2002,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,79.94 [74.64-86.05]
Afghanistan,2001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,87.56 [82.03-93.86]
Afghanistan,2001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,92.5 [86.37-99.52]
Afghanistan,2001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,82.37 [76.85-88.53]
Afghanistan,2000,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,90.15 [84.38-96.62]
Afghanistan,2000,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,95.27 [88.87-102.4]
Afghanistan,2000,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,84.78 [79.05-91.15]
Afghanistan,1999,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,92.73 [86.69-99.47]
Afghanistan,1999,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,97.97 [91.33-105.2]
Afghanistan,1999,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,87.23 [81.24-93.73]
Afghanistan,1998,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,95.35 [89.09-102.2]
Afghanistan,1998,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,100.7 [93.79-108.1]
Afghanistan,1998,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,89.69 [83.54-96.41]
Afghanistan,1997,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,98.06 [91.45-105]
Afghanistan,1997,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,103.5 [96.29-111.2]
Afghanistan,1997,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,92.3 [85.79-99.19]
Afghanistan,1996,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,100.8 [93.91-108]
Afghanistan,1996,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,106.3 [98.86-114.3]
Afghanistan,1996,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,95 [88.21-102.1]
Afghanistan,1995,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,103.7 [96.48-111.3]
Afghanistan,1995,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,109.2 [101.4-117.4]
Afghanistan,1995,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,97.96 [90.83-105.5]
Afghanistan,1994,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,106.7 [99.27-114.6]
Afghanistan,1994,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,112.3 [104.2-120.8]
Afghanistan,1994,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,100.9 [93.52-108.8]
Afghanistan,1993,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,109.9 [102.2-118.1]
Afghanistan,1993,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,115.6 [107-124.5]
Afghanistan,1993,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,104 [96.34-112.4]
Afghanistan,1992,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,113.3 [105.2-122]
Afghanistan,1992,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,118.9 [110-128.4]
Afghanistan,1992,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,107.3 [99.17-116.3]
Afghanistan,1991,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,116.8 [108.2-126.2]
Afghanistan,1991,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,122.5 [113.2-132.7]
Afghanistan,1991,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,110.7 [102.1-120.4]
Afghanistan,1990,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,120.4 [111.2-130.9]
Afghanistan,1990,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,126.2 [116.4-137.5]
Afghanistan,1990,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,114.2 [105.1-124.7]
Afghanistan,1989,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,124.2 [114.5-135.7]
Afghanistan,1989,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,130.2 [119.7-142.3]
Afghanistan,1989,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,118 [108.1-129.5]
Afghanistan,1988,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,128.2 [117.9-140.6]
Afghanistan,1988,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,134.2 [123-147.6]
Afghanistan,1988,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,121.8 [111.3-134.3]
Afghanistan,1987,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,132.2 [121.1-145.7]
Afghanistan,1987,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,138.4 [126.4-153]
Afghanistan,1987,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,125.7 [114.4-139.2]
Afghanistan,1986,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,136.2 [124.4-150.9]
Afghanistan,1986,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,142.7 [129.8-158.5]
Afghanistan,1986,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,129.4 [117.6-144.2]
Afghanistan,1985,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,140.3 [127.8-156.4]
Afghanistan,1985,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,146.9 [133.3-164.1]
Afghanistan,1985,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,133.3 [120.8-149.4]
Afghanistan,1984,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,144.3 [131.1-161.6]
Afghanistan,1984,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,151.2 [136.8-169.8]
Afghanistan,1984,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,137.3 [124-154.8]
Afghanistan,1983,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,148.4 [134.4-166.9]
Afghanistan,1983,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,155.5 [140.4-175.2]
Afghanistan,1983,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,141.1 [127.1-159.7]
Afghanistan,1982,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,152.5 [137.9-172.4]
Afghanistan,1982,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,159.7 [143.8-180.7]
Afghanistan,1982,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,145 [130.2-164.8]
Afghanistan,1981,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,156.8 [141.2-177.6]
Afghanistan,1981,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,164 [147.4-186]
Afghanistan,1981,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,149.2 [133.3-169.3]
Afghanistan,1980,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,161 [144.6-182.6]
Afghanistan,1980,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,168.4 [150.8-191.7]
Afghanistan,1980,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,153.2 [136.5-174.3]
Afghanistan,1979,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,165.3 [148-187.5]
Afghanistan,1979,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Male,172.9 [154.4-196.9]
Afghanistan,1979,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Female,157.2 [139.6-179]
Afghanistan,1978,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,169.4 [151.3-192.3]
