Location,Period,Indicator,Dim1,First Tooltip
Afghanistan,2019,Life expectancy at birth (years),Both sexes,63.21
Afghanistan,2019,Life expectancy at birth (years),Male,63.29
Afghanistan,2019,Life expectancy at birth (years),Female,63.16
Afghanistan,2015,Life expectancy at birth (years),Both sexes,61.65
Afghanistan,2015,Life expectancy at birth (years),Male,61.04
Afghanistan,2015,Life expectancy at birth (years),Female,62.35
Afghanistan,2010,Life expectancy at birth (years),Both sexes,59.94
Afghanistan,2010,Life expectancy at birth (years),Male,59.6
Afghanistan,2010,Life expectancy at birth (years),Female,60.3
Afghanistan,2000,Life expectancy at birth (years),Both sexes,54.99
Afghanistan,2000,Life expectancy at birth (years),Male,54.57
Afghanistan,2000,Life expectancy at birth (years),Female,55.42
Albania,2019,Life expectancy at birth (years),Both sexes,78
Albania,2019,Life expectancy at birth (years),Male,76.25
Albania,2019,Life expectancy at birth (years),Female,79.91
Albania,2015,Life expectancy at birth (years),Both sexes,77.84
Albania,2015,Life expectancy at birth (years),Male,76.1
Albania,2015,Life expectancy at birth (years),Female,79.69
Albania,2010,Life expectancy at birth (years),Both sexes,76.25
Albania,2010,Life expectancy at birth (years),Male,74.23
Albania,2010,Life expectancy at birth (years),Female,78.31
Albania,2000,Life expectancy at birth (years),Both sexes,73.55
Albania,2000,Life expectancy at birth (years),Male,70.65
Albania,2000,Life expectancy at birth (years),Female,76.92
Algeria,2019,Life expectancy at birth (years),Both sexes,77.13
Algeria,2019,Life expectancy at birth (years),Male,76.23
Algeria,2019,Life expectancy at birth (years),Female,78.12
Algeria,2015,Life expectancy at birth (years),Both sexes,76.54
Algeria,2015,Life expectancy at birth (years),Male,75.65
Algeria,2015,Life expectancy at birth (years),Female,77.5
Algeria,2010,Life expectancy at birth (years),Both sexes,75.85
Algeria,2010,Life expectancy at birth (years),Male,74.95
Algeria,2010,Life expectancy at birth (years),Female,76.79
Algeria,2000,Life expectancy at birth (years),Both sexes,72.21
Algeria,2000,Life expectancy at birth (years),Male,70.94
Algeria,2000,Life expectancy at birth (years),Female,73.54
Angola,2019,Life expectancy at birth (years),Both sexes,63.06
Angola,2019,Life expectancy at birth (years),Male,60.7
Angola,2019,Life expectancy at birth (years),Female,65.52
Angola,2015,Life expectancy at birth (years),Both sexes,61.72
Angola,2015,Life expectancy at birth (years),Male,59.13
Angola,2015,Life expectancy at birth (years),Female,64.5
Angola,2010,Life expectancy at birth (years),Both sexes,58.07
Angola,2010,Life expectancy at birth (years),Male,55.78
Angola,2010,Life expectancy at birth (years),Female,60.53
Angola,2000,Life expectancy at birth (years),Both sexes,49.3
Angola,2000,Life expectancy at birth (years),Male,46.77
Angola,2000,Life expectancy at birth (years),Female,52.12
Antigua and Barbuda,2019,Life expectancy at birth (years),Both sexes,76.45
Antigua and Barbuda,2019,Life expectancy at birth (years),Male,74.88
Antigua and Barbuda,2019,Life expectancy at birth (years),Female,77.96
Antigua and Barbuda,2015,Life expectancy at birth (years),Both sexes,76.14
Antigua and Barbuda,2015,Life expectancy at birth (years),Male,74.43
Antigua and Barbuda,2015,Life expectancy at birth (years),Female,77.76
Antigua and Barbuda,2010,Life expectancy at birth (years),Both sexes,75.95
Antigua and Barbuda,2010,Life expectancy at birth (years),Male,73.56
Antigua and Barbuda,2010,Life expectancy at birth (years),Female,78.25
Antigua and Barbuda,2000,Life expectancy at birth (years),Both sexes,74.56
Antigua and Barbuda,2000,Life expectancy at birth (years),Male,72
Antigua and Barbuda,2000,Life expectancy at birth (years),Female,76.95
Argentina,2019,Life expectancy at birth (years),Both sexes,76.58
Argentina,2019,Life expectancy at birth (years),Male,73.51
Argentina,2019,Life expectancy at birth (years),Female,79.5
Argentina,2015,Life expectancy at birth (years),Both sexes,76.17
Argentina,2015,Life expectancy at birth (years),Male,72.92
Argentina,2015,Life expectancy at birth (years),Female,79.3
Argentina,2010,Life expectancy at birth (years),Both sexes,75.44
Argentina,2010,Life expectancy at birth (years),Male,72.14
Argentina,2010,Life expectancy at birth (years),Female,78.63
Argentina,2000,Life expectancy at birth (years),Both sexes,74.09
Argentina,2000,Life expectancy at birth (years),Male,70.34
Argentina,2000,Life expectancy at birth (years),Female,77.83
Armenia,2019,Life expectancy at birth (years),Both sexes,76.03
Armenia,2019,Life expectancy at birth (years),Male,72.49
Armenia,2019,Life expectancy at birth (years),Female,79.16
Armenia,2015,Life expectancy at birth (years),Both sexes,74.51
Armenia,2015,Life expectancy at birth (years),Male,70.88
Armenia,2015,Life expectancy at birth (years),Female,77.83
Armenia,2010,Life expectancy at birth (years),Both sexes,73.12
Armenia,2010,Life expectancy at birth (years),Male,69.39
Armenia,2010,Life expectancy at birth (years),Female,76.61
Armenia,2000,Life expectancy at birth (years),Both sexes,71.88
Armenia,2000,Life expectancy at birth (years),Male,68.59
Armenia,2000,Life expectancy at birth (years),Female,74.91
Australia,2019,Life expectancy at birth (years),Both sexes,83.04
Australia,2019,Life expectancy at birth (years),Male,81.25
Australia,2019,Life expectancy at birth (years),Female,84.84
Australia,2015,Life expectancy at birth (years),Both sexes,82.28
Australia,2015,Life expectancy at birth (years),Male,80.41
Australia,2015,Life expectancy at birth (years),Female,84.17
Australia,2010,Life expectancy at birth (years),Both sexes,81.9
Australia,2010,Life expectancy at birth (years),Male,79.84
Australia,2010,Life expectancy at birth (years),Female,83.99
Australia,2000,Life expectancy at birth (years),Both sexes,79.69
Australia,2000,Life expectancy at birth (years),Male,77.13
Australia,2000,Life expectancy at birth (years),Female,82.24
Austria,2019,Life expectancy at birth (years),Both sexes,81.65
Austria,2019,Life expectancy at birth (years),Male,79.44
Austria,2019,Life expectancy at birth (years),Female,83.78
Austria,2015,Life expectancy at birth (years),Both sexes,80.98
Austria,2015,Life expectancy at birth (years),Male,78.6
Austria,2015,Life expectancy at birth (years),Female,83.29
Austria,2010,Life expectancy at birth (years),Both sexes,80.39
Austria,2010,Life expectancy at birth (years),Male,77.65
Austria,2010,Life expectancy at birth (years),Female,82.99
Austria,2000,Life expectancy at birth (years),Both sexes,78.17
Austria,2000,Life expectancy at birth (years),Male,75.09
Austria,2000,Life expectancy at birth (years),Female,80.98
Azerbaijan,2019,Life expectancy at birth (years),Both sexes,71.43
Azerbaijan,2019,Life expectancy at birth (years),Male,68.78
Azerbaijan,2019,Life expectancy at birth (years),Female,74.09
Azerbaijan,2015,Life expectancy at birth (years),Both sexes,70.67
Azerbaijan,2015,Life expectancy at birth (years),Male,67.94
Azerbaijan,2015,Life expectancy at birth (years),Female,73.43
Azerbaijan,2010,Life expectancy at birth (years),Both sexes,69.03
Azerbaijan,2010,Life expectancy at birth (years),Male,66.29
Azerbaijan,2010,Life expectancy at birth (years),Female,71.83
Azerbaijan,2000,Life expectancy at birth (years),Both sexes,65.52
Azerbaijan,2000,Life expectancy at birth (years),Male,62.57
Azerbaijan,2000,Life expectancy at birth (years),Female,68.5
Bahamas,2019,Life expectancy at birth (years),Both sexes,73.21
Bahamas,2019,Life expectancy at birth (years),Male,69.85
Bahamas,2019,Life expectancy at birth (years),Female,76.59
Bahamas,2015,Life expectancy at birth (years),Both sexes,72.92
Bahamas,2015,Life expectancy at birth (years),Male,69.73
Bahamas,2015,Life expectancy at birth (years),Female,76.08
Bahamas,2010,Life expectancy at birth (years),Both sexes,72.96
Bahamas,2010,Life expectancy at birth (years),Male,69.64
Bahamas,2010,Life expectancy at birth (years),Female,76.25
Bahamas,2000,Life expectancy at birth (years),Both sexes,70.94
Bahamas,2000,Life expectancy at birth (years),Male,67.64
Bahamas,2000,Life expectancy at birth (years),Female,74.19
Bahrain,2019,Life expectancy at birth (years),Both sexes,75.81
Bahrain,2019,Life expectancy at birth (years),Male,75.04
Bahrain,2019,Life expectancy at birth (years),Female,77.02
Bahrain,2015,Life expectancy at birth (years),Both sexes,76.46
Bahrain,2015,Life expectancy at birth (years),Male,75.87
Bahrain,2015,Life expectancy at birth (years),Female,77.27
Bahrain,2010,Life expectancy at birth (years),Both sexes,74.52
Bahrain,2010,Life expectancy at birth (years),Male,73.85
Bahrain,2010,Life expectancy at birth (years),Female,75.34
Bahrain,2000,Life expectancy at birth (years),Both sexes,70.47
Bahrain,2000,Life expectancy at birth (years),Male,69.55
Bahrain,2000,Life expectancy at birth (years),Female,71.77
Bangladesh,2019,Life expectancy at birth (years),Both sexes,74.25
Bangladesh,2019,Life expectancy at birth (years),Male,72.99
Bangladesh,2019,Life expectancy at birth (years),Female,75.64
Bangladesh,2015,Life expectancy at birth (years),Both sexes,73.58
Bangladesh,2015,Life expectancy at birth (years),Male,72.5
Bangladesh,2015,Life expectancy at birth (years),Female,74.79
Bangladesh,2010,Life expectancy at birth (years),Both sexes,70.29
Bangladesh,2010,Life expectancy at birth (years),Male,68.63
Bangladesh,2010,Life expectancy at birth (years),Female,72.22
Bangladesh,2000,Life expectancy at birth (years),Both sexes,65.59
Bangladesh,2000,Life expectancy at birth (years),Male,64.07
Bangladesh,2000,Life expectancy at birth (years),Female,67.36
Barbados,2019,Life expectancy at birth (years),Both sexes,76.03
Barbados,2019,Life expectancy at birth (years),Male,74.32
