Location,Period,Indicator,Dim1,First Tooltip
Afghanistan,2019,Neonatal mortality rate (per 1000 live births),Both sexes,35.86 [27.77-45.18]
Afghanistan,2018,Neonatal mortality rate (per 1000 live births),Both sexes,36.89 [29.34-45.28]
Afghanistan,2017,Neonatal mortality rate (per 1000 live births),Both sexes,37.98 [30.95-45.6]
Afghanistan,2016,Neonatal mortality rate (per 1000 live births),Both sexes,39.05 [32.59-46.17]
Afghanistan,2015,Neonatal mortality rate (per 1000 live births),Both sexes,40.27 [34.34-46.94]
Afghanistan,2014,Neonatal mortality rate (per 1000 live births),Both sexes,41.62 [36.04-47.86]
Afghanistan,2013,Neonatal mortality rate (per 1000 live births),Both sexes,42.99 [37.73-48.8]
Afghanistan,2012,Neonatal mortality rate (per 1000 live births),Both sexes,44.37 [39.39-49.87]
Afghanistan,2011,Neonatal mortality rate (per 1000 live births),Both sexes,45.76 [40.97-51.07]
Afghanistan,2010,Neonatal mortality rate (per 1000 live births),Both sexes,47.2 [42.56-52.29]
Afghanistan,2009,Neonatal mortality rate (per 1000 live births),Both sexes,48.64 [44.1-53.68]
Afghanistan,2008,Neonatal mortality rate (per 1000 live births),Both sexes,50.1 [45.61-55.06]
Afghanistan,2007,Neonatal mortality rate (per 1000 live births),Both sexes,51.5 [46.98-56.54]
Afghanistan,2006,Neonatal mortality rate (per 1000 live births),Both sexes,52.89 [48.38-58.07]
Afghanistan,2005,Neonatal mortality rate (per 1000 live births),Both sexes,54.27 [49.61-59.6]
Afghanistan,2004,Neonatal mortality rate (per 1000 live births),Both sexes,55.64 [50.85-61.14]
Afghanistan,2003,Neonatal mortality rate (per 1000 live births),Both sexes,56.94 [52.03-62.62]
Afghanistan,2002,Neonatal mortality rate (per 1000 live births),Both sexes,58.2 [53.14-64.02]
Afghanistan,2001,Neonatal mortality rate (per 1000 live births),Both sexes,59.44 [54.21-65.39]
Afghanistan,2000,Neonatal mortality rate (per 1000 live births),Both sexes,60.63 [55.29-66.68]
Afghanistan,1999,Neonatal mortality rate (per 1000 live births),Both sexes,61.85 [56.2-68.13]
Afghanistan,1998,Neonatal mortality rate (per 1000 live births),Both sexes,63.07 [57.28-69.49]
Afghanistan,1997,Neonatal mortality rate (per 1000 live births),Both sexes,64.34 [58.35-70.92]
Afghanistan,1996,Neonatal mortality rate (per 1000 live births),Both sexes,65.67 [59.4-72.47]
Afghanistan,1995,Neonatal mortality rate (per 1000 live births),Both sexes,67.05 [60.49-74.09]
Afghanistan,1994,Neonatal mortality rate (per 1000 live births),Both sexes,68.44 [61.67-75.87]
Afghanistan,1993,Neonatal mortality rate (per 1000 live births),Both sexes,69.91 [62.93-77.58]
Afghanistan,1992,Neonatal mortality rate (per 1000 live births),Both sexes,71.43 [64.08-79.33]
Afghanistan,1991,Neonatal mortality rate (per 1000 live births),Both sexes,72.9 [65.24-81.17]
Afghanistan,1990,Neonatal mortality rate (per 1000 live births),Both sexes,74.31 [66.35-83.12]
Afghanistan,1989,Neonatal mortality rate (per 1000 live births),Both sexes,75.73 [67.28-85.28]
Afghanistan,1988,Neonatal mortality rate (per 1000 live births),Both sexes,77.22 [68.37-87.46]
Afghanistan,1987,Neonatal mortality rate (per 1000 live births),Both sexes,78.76 [69.38-89.71]
Albania,2019,Neonatal mortality rate (per 1000 live births),Both sexes,7.52 [6.9-8.17]
Albania,2018,Neonatal mortality rate (per 1000 live births),Both sexes,7.16 [6.64-7.68]
