Location,Indicator,Period,First Tooltip
Afghanistan,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,42.1
Albania,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2009,12.9
Algeria,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2013,77.2
Angola,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,24.2
Armenia,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,40.2
Bangladesh,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,72.5
Barbados,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2012,70
Belarus,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2012,74.2
Belize,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,65.9
Benin,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,24.5
Bhutan,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2010,84.6
Bolivia (Plurinational State of),Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2008,42.8
Bosnia and Herzegovina,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2012,21.9
Brazil,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2007,89.3
Burkina Faso,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2017,45
Burundi,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2017,39.3
Cambodia,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,56.4
Cameroon,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,40.1
Central African Republic,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2011,28.7
Chad,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2015,17.5
Colombia,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,86.5
Comoros,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2012,27.8
Congo,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2015,38.5
Costa Rica,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2011,89.1
Côte d’Ivoire,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,31.1
Cuba,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,88.4
Democratic Republic of the Congo,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,15.6
Dominican Republic,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,84.1
Ecuador,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2012,80.7
Egypt,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,80
El Salvador,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,81.9
Equatorial Guinea,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2011,20.5
Eritrea,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2010,19.6
Eswatini,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,80.6
Ethiopia,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2017,59.4
Gabon,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2012,33.7
Gambia,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2013,23.9
Ghana,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2017,46.2
Guatemala,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2015,65.6
Guinea,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,21.5
Guinea-Bissau,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,37.6
Guyana,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,52.5
Haiti,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2017,44
Honduras,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2012,76
India,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,72
Indonesia,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2017,77.9
Iran (Islamic Republic of),Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2011,68.6
Iraq,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2011,59.3
Jamaica,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2009,82.9
Jordan,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2012,58
Kazakhstan,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2011,79.6
Kenya,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,77.6
Kiribati,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2009,35.8
Kyrgyzstan,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2012,62.1
Lao People's Democratic Republic,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2012,61.3
Lesotho,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,76.1
Liberia,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2013,37.2
Libya,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2007,29.6
Madagascar,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2009,49.6
Malawi,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,74.6
Maldives,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2009,42.7
Mali,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2015,46
Marshall Islands,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2007,80.5
Mauritania,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2015,30.4
Mauritius,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,41.9
Mexico,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2015,80.9
Mongolia,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2013,68.3
Montenegro,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2013,34.1
Morocco,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2011,74.8
Mozambique,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2015,50.4
Myanmar,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,75
Namibia,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2013,75.1
Nauru,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2007,42.5
