Location,Indicator,Period,First Tooltip
Afghanistan,Estimated road traffic death rate (per 100 000 population),2016,15.1
Albania,Estimated road traffic death rate (per 100 000 population),2016,13.6
Angola,Estimated road traffic death rate (per 100 000 population),2016,23.6
Antigua and Barbuda,Estimated road traffic death rate (per 100 000 population),2016,7.9
Argentina,Estimated road traffic death rate (per 100 000 population),2016,14
Armenia,Estimated road traffic death rate (per 100 000 population),2016,17.1
Australia,Estimated road traffic death rate (per 100 000 population),2016,5.6
Austria,Estimated road traffic death rate (per 100 000 population),2016,5.2
Azerbaijan,Estimated road traffic death rate (per 100 000 population),2016,8.7
Bangladesh,Estimated road traffic death rate (per 100 000 population),2016,15.3
Barbados,Estimated road traffic death rate (per 100 000 population),2016,5.6
Belarus,Estimated road traffic death rate (per 100 000 population),2016,8.9
Belgium,Estimated road traffic death rate (per 100 000 population),2016,5.8
Belize,Estimated road traffic death rate (per 100 000 population),2016,28.3
Benin,Estimated road traffic death rate (per 100 000 population),2016,27.5
Bhutan,Estimated road traffic death rate (per 100 000 population),2016,17.4
Bolivia (Plurinational State of),Estimated road traffic death rate (per 100 000 population),2016,15.5
Bosnia and Herzegovina,Estimated road traffic death rate (per 100 000 population),2016,15.7
Botswana,Estimated road traffic death rate (per 100 000 population),2016,23.8
Brazil,Estimated road traffic death rate (per 100 000 population),2016,19.7
Bulgaria,Estimated road traffic death rate (per 100 000 population),2016,10.2
Burkina Faso,Estimated road traffic death rate (per 100 000 population),2016,30.5
Burundi,Estimated road traffic death rate (per 100 000 population),2016,34.7
Cabo Verde,Estimated road traffic death rate (per 100 000 population),2016,25
Cambodia,Estimated road traffic death rate (per 100 000 population),2016,17.8
Cameroon,Estimated road traffic death rate (per 100 000 population),2016,30.1
Canada,Estimated road traffic death rate (per 100 000 population),2016,5.8
Central African Republic,Estimated road traffic death rate (per 100 000 population),2016,33.6
Chad,Estimated road traffic death rate (per 100 000 population),2016,27.6
Chile,Estimated road traffic death rate (per 100 000 population),2016,12.5
China,Estimated road traffic death rate (per 100 000 population),2016,18.2
Colombia,Estimated road traffic death rate (per 100 000 population),2016,18.5
Comoros,Estimated road traffic death rate (per 100 000 population),2016,26.5
Congo,Estimated road traffic death rate (per 100 000 population),2016,27.4
Cook Islands,Estimated road traffic death rate (per 100 000 population),2016,17.3
Costa Rica,Estimated road traffic death rate (per 100 000 population),2016,16.7
Côte d’Ivoire,Estimated road traffic death rate (per 100 000 population),2016,23.6
Croatia,Estimated road traffic death rate (per 100 000 population),2016,8.1
Cuba,Estimated road traffic death rate (per 100 000 population),2016,8.5
Cyprus,Estimated road traffic death rate (per 100 000 population),2016,5.1
Czechia,Estimated road traffic death rate (per 100 000 population),2016,5.9
Democratic Republic of the Congo,Estimated road traffic death rate (per 100 000 population),2016,33.7
Denmark,Estimated road traffic death rate (per 100 000 population),2016,4
Dominica,Estimated road traffic death rate (per 100 000 population),2016,10.9
Dominican Republic,Estimated road traffic death rate (per 100 000 population),2016,34.6
Ecuador,Estimated road traffic death rate (per 100 000 population),2016,21.3
Egypt,Estimated road traffic death rate (per 100 000 population),2016,9.7
El Salvador,Estimated road traffic death rate (per 100 000 population),2016,22.2
Equatorial Guinea,Estimated road traffic death rate (per 100 000 population),2016,24.6
Eritrea,Estimated road traffic death rate (per 100 000 population),2016,25.3
Estonia,Estimated road traffic death rate (per 100 000 population),2016,6.1
Eswatini,Estimated road traffic death rate (per 100 000 population),2016,26.9
Ethiopia,Estimated road traffic death rate (per 100 000 population),2016,26.7
Fiji,Estimated road traffic death rate (per 100 000 population),2016,9.6
Finland,Estimated road traffic death rate (per 100 000 population),2016,4.7
France,Estimated road traffic death rate (per 100 000 population),2016,5.5
Gabon,Estimated road traffic death rate (per 100 000 population),2016,23.2
Gambia,Estimated road traffic death rate (per 100 000 population),2016,29.7
Georgia,Estimated road traffic death rate (per 100 000 population),2016,15.3
Germany,Estimated road traffic death rate (per 100 000 population),2016,4.1
Ghana,Estimated road traffic death rate (per 100 000 population),2016,24.9
Greece,Estimated road traffic death rate (per 100 000 population),2016,9.2
Grenada,Estimated road traffic death rate (per 100 000 population),2016,9.3
Guatemala,Estimated road traffic death rate (per 100 000 population),2016,16.6
Guinea,Estimated road traffic death rate (per 100 000 population),2016,28.2
