Location,Indicator,Period,Dim1,First Tooltip
Albania,Population using safely managed sanitation services (%),2017,Total,39.86
Albania,Population using safely managed sanitation services (%),2017,Urban,40.17
Albania,Population using safely managed sanitation services (%),2017,Rural,39.39
Albania,Population using safely managed sanitation services (%),2016,Total,39.85
Albania,Population using safely managed sanitation services (%),2016,Urban,40.17
Albania,Population using safely managed sanitation services (%),2016,Rural,39.39
Albania,Population using safely managed sanitation services (%),2015,Total,39.84
Albania,Population using safely managed sanitation services (%),2015,Urban,40.17
Albania,Population using safely managed sanitation services (%),2015,Rural,39.39
Albania,Population using safely managed sanitation services (%),2014,Total,39.83
Albania,Population using safely managed sanitation services (%),2014,Urban,40.17
Albania,Population using safely managed sanitation services (%),2014,Rural,39.39
Albania,Population using safely managed sanitation services (%),2013,Total,39.6
Albania,Population using safely managed sanitation services (%),2013,Urban,40.12
Albania,Population using safely managed sanitation services (%),2013,Rural,38.95
Albania,Population using safely managed sanitation services (%),2012,Total,39.3
Albania,Population using safely managed sanitation services (%),2012,Urban,40.09
Albania,Population using safely managed sanitation services (%),2012,Rural,38.36
Albania,Population using safely managed sanitation services (%),2011,Total,38.97
Albania,Population using safely managed sanitation services (%),2011,Urban,40.04
Albania,Population using safely managed sanitation services (%),2011,Rural,37.77
Albania,Population using safely managed sanitation services (%),2010,Total,38.64
Albania,Population using safely managed sanitation services (%),2010,Urban,39.98
Albania,Population using safely managed sanitation services (%),2010,Rural,37.18
Albania,Population using safely managed sanitation services (%),2009,Total,38.29
Albania,Population using safely managed sanitation services (%),2009,Urban,39.93
Albania,Population using safely managed sanitation services (%),2009,Rural,36.59
Albania,Population using safely managed sanitation services (%),2008,Total,37.94
Albania,Population using safely managed sanitation services (%),2008,Urban,39.87
Albania,Population using safely managed sanitation services (%),2008,Rural,36
Albania,Population using safely managed sanitation services (%),2007,Total,37.62
Albania,Population using safely managed sanitation services (%),2007,Urban,39.82
Albania,Population using safely managed sanitation services (%),2007,Rural,35.52
Albania,Population using safely managed sanitation services (%),2006,Total,37.72
Albania,Population using safely managed sanitation services (%),2006,Urban,39.76
Albania,Population using safely managed sanitation services (%),2006,Rural,35.84
Albania,Population using safely managed sanitation services (%),2005,Total,37.82
Albania,Population using safely managed sanitation services (%),2005,Urban,39.71
Albania,Population using safely managed sanitation services (%),2005,Rural,36.16
Albania,Population using safely managed sanitation services (%),2004,Total,37.93
Albania,Population using safely managed sanitation services (%),2004,Urban,39.66
Albania,Population using safely managed sanitation services (%),2004,Rural,36.48
Albania,Population using safely managed sanitation services (%),2003,Total,38.09
Albania,Population using safely managed sanitation services (%),2003,Urban,39.69
Albania,Population using safely managed sanitation services (%),2003,Rural,36.8
Albania,Population using safely managed sanitation services (%),2002,Total,38.25
Albania,Population using safely managed sanitation services (%),2002,Urban,39.73
Albania,Population using safely managed sanitation services (%),2002,Rural,37.12
Albania,Population using safely managed sanitation services (%),2001,Total,38.43
Albania,Population using safely managed sanitation services (%),2001,Urban,39.76
Albania,Population using safely managed sanitation services (%),2001,Rural,37.44
Albania,Population using safely managed sanitation services (%),2000,Total,38.61
Albania,Population using safely managed sanitation services (%),2000,Urban,39.8
Albania,Population using safely managed sanitation services (%),2000,Rural,37.76
Algeria,Population using safely managed sanitation services (%),2017,Total,17.69
Algeria,Population using safely managed sanitation services (%),2017,Urban,16.48
Algeria,Population using safely managed sanitation services (%),2017,Rural,20.79
Algeria,Population using safely managed sanitation services (%),2016,Total,17.71
Algeria,Population using safely managed sanitation services (%),2016,Urban,16.48
Algeria,Population using safely managed sanitation services (%),2016,Rural,20.79
Algeria,Population using safely managed sanitation services (%),2015,Total,17.74
Algeria,Population using safely managed sanitation services (%),2015,Urban,16.48
Algeria,Population using safely managed sanitation services (%),2015,Rural,20.79
Algeria,Population using safely managed sanitation services (%),2014,Total,17.81
Algeria,Population using safely managed sanitation services (%),2014,Urban,16.59
Algeria,Population using safely managed sanitation services (%),2014,Rural,20.68
Algeria,Population using safely managed sanitation services (%),2013,Total,17.88
Algeria,Population using safely managed sanitation services (%),2013,Urban,16.7
Algeria,Population using safely managed sanitation services (%),2013,Rural,20.58
Algeria,Population using safely managed sanitation services (%),2012,Total,17.94
Algeria,Population using safely managed sanitation services (%),2012,Urban,16.8
Algeria,Population using safely managed sanitation services (%),2012,Rural,20.48
Algeria,Population using safely managed sanitation services (%),2011,Total,18.01
Algeria,Population using safely managed sanitation services (%),2011,Urban,16.91
Algeria,Population using safely managed sanitation services (%),2011,Rural,20.37
Algeria,Population using safely managed sanitation services (%),2010,Total,18.07
Algeria,Population using safely managed sanitation services (%),2010,Urban,17.01
Algeria,Population using safely managed sanitation services (%),2010,Rural,20.27
Algeria,Population using safely managed sanitation services (%),2009,Total,18.13
Algeria,Population using safely managed sanitation services (%),2009,Urban,17.12
Algeria,Population using safely managed sanitation services (%),2009,Rural,20.17
Algeria,Population using safely managed sanitation services (%),2008,Total,18.19
Algeria,Population using safely managed sanitation services (%),2008,Urban,17.22
Algeria,Population using safely managed sanitation services (%),2008,Rural,20.06
Algeria,Population using safely managed sanitation services (%),2007,Total,18.24
Algeria,Population using safely managed sanitation services (%),2007,Urban,17.33
Algeria,Population using safely managed sanitation services (%),2007,Rural,19.96
Algeria,Population using safely managed sanitation services (%),2006,Total,18.29
Algeria,Population using safely managed sanitation services (%),2006,Urban,17.43
Algeria,Population using safely managed sanitation services (%),2006,Rural,19.86
Algeria,Population using safely managed sanitation services (%),2005,Total,18.34
Algeria,Population using safely managed sanitation services (%),2005,Urban,17.54
Algeria,Population using safely managed sanitation services (%),2005,Rural,19.75
Algeria,Population using safely managed sanitation services (%),2004,Total,18.38
Algeria,Population using safely managed sanitation services (%),2004,Urban,17.64
Algeria,Population using safely managed sanitation services (%),2004,Rural,19.65
Algeria,Population using safely managed sanitation services (%),2003,Total,18.43
Algeria,Population using safely managed sanitation services (%),2003,Urban,17.75
Algeria,Population using safely managed sanitation services (%),2003,Rural,19.55
Algeria,Population using safely managed sanitation services (%),2002,Total,18.47
Algeria,Population using safely managed sanitation services (%),2002,Urban,17.85
Algeria,Population using safely managed sanitation services (%),2002,Rural,19.44
Algeria,Population using safely managed sanitation services (%),2001,Total,18.5
Algeria,Population using safely managed sanitation services (%),2001,Urban,17.96
Algeria,Population using safely managed sanitation services (%),2001,Rural,19.34
Algeria,Population using safely managed sanitation services (%),2000,Total,18.53
Algeria,Population using safely managed sanitation services (%),2000,Urban,18.07
Algeria,Population using safely managed sanitation services (%),2000,Rural,19.24
Andorra,Population using safely managed sanitation services (%),2017,Total,100
Andorra,Population using safely managed sanitation services (%),2017,Urban,100
Andorra,Population using safely managed sanitation services (%),2017,Rural,100
Andorra,Population using safely managed sanitation services (%),2016,Total,100
Andorra,Population using safely managed sanitation services (%),2016,Urban,100
Andorra,Population using safely managed sanitation services (%),2016,Rural,100
Andorra,Population using safely managed sanitation services (%),2015,Total,100
Andorra,Population using safely managed sanitation services (%),2015,Urban,100
Andorra,Population using safely managed sanitation services (%),2015,Rural,100
Andorra,Population using safely managed sanitation services (%),2014,Total,100
Andorra,Population using safely managed sanitation services (%),2014,Urban,100
Andorra,Population using safely managed sanitation services (%),2014,Rural,100
Andorra,Population using safely managed sanitation services (%),2013,Total,100
Andorra,Population using safely managed sanitation services (%),2013,Urban,100
Andorra,Population using safely managed sanitation services (%),2013,Rural,100
Andorra,Population using safely managed sanitation services (%),2012,Total,100
Andorra,Population using safely managed sanitation services (%),2012,Urban,100
Andorra,Population using safely managed sanitation services (%),2012,Rural,100
Andorra,Population using safely managed sanitation services (%),2011,Total,93.63
Andorra,Population using safely managed sanitation services (%),2011,Urban,93.63
Andorra,Population using safely managed sanitation services (%),2011,Rural,93.63
Andorra,Population using safely managed sanitation services (%),2010,Total,86.45
Andorra,Population using safely managed sanitation services (%),2010,Urban,86.45
Andorra,Population using safely managed sanitation services (%),2010,Rural,86.45
Andorra,Population using safely managed sanitation services (%),2009,Total,79.27
Andorra,Population using safely managed sanitation services (%),2009,Urban,79.27
Andorra,Population using safely managed sanitation services (%),2009,Rural,79.27
Andorra,Population using safely managed sanitation services (%),2008,Total,72.08
Andorra,Population using safely managed sanitation services (%),2008,Urban,72.08
Andorra,Population using safely managed sanitation services (%),2008,Rural,72.08
Andorra,Population using safely managed sanitation services (%),2007,Total,64.9
Andorra,Population using safely managed sanitation services (%),2007,Urban,64.9
Andorra,Population using safely managed sanitation services (%),2007,Rural,64.9
Andorra,Population using safely managed sanitation services (%),2006,Total,57.71
Andorra,Population using safely managed sanitation services (%),2006,Urban,57.71
Andorra,Population using safely managed sanitation services (%),2006,Rural,57.71
Andorra,Population using safely managed sanitation services (%),2005,Total,50.53
Andorra,Population using safely managed sanitation services (%),2005,Urban,50.53
Andorra,Population using safely managed sanitation services (%),2005,Rural,50.53
Andorra,Population using safely managed sanitation services (%),2004,Total,43.34
Andorra,Population using safely managed sanitation services (%),2004,Urban,43.34
Andorra,Population using safely managed sanitation services (%),2004,Rural,43.34
Andorra,Population using safely managed sanitation services (%),2003,Total,36.16
Andorra,Population using safely managed sanitation services (%),2003,Urban,36.16
Andorra,Population using safely managed sanitation services (%),2003,Rural,36.16
Andorra,Population using safely managed sanitation services (%),2002,Total,28.97
Andorra,Population using safely managed sanitation services (%),2002,Urban,28.97
Andorra,Population using safely managed sanitation services (%),2002,Rural,28.97
Andorra,Population using safely managed sanitation services (%),2001,Total,21.79
Andorra,Population using safely managed sanitation services (%),2001,Urban,21.79
Andorra,Population using safely managed sanitation services (%),2001,Rural,21.79
Andorra,Population using safely managed sanitation services (%),2000,Total,14.6
Andorra,Population using safely managed sanitation services (%),2000,Urban,14.6
Andorra,Population using safely managed sanitation services (%),2000,Rural,14.6
Armenia,Population using safely managed sanitation services (%),2017,Total,48.22
Armenia,Population using safely managed sanitation services (%),2017,Urban,45.26
Armenia,Population using safely managed sanitation services (%),2016,Total,48.3
Armenia,Population using safely managed sanitation services (%),2016,Urban,45.41
Armenia,Population using safely managed sanitation services (%),2015,Total,48.32
Armenia,Population using safely managed sanitation services (%),2015,Urban,45.48
Armenia,Population using safely managed sanitation services (%),2014,Total,48.28
Armenia,Population using safely managed sanitation services (%),2014,Urban,45.48
Armenia,Population using safely managed sanitation services (%),2013,Total,48.25
Armenia,Population using safely managed sanitation services (%),2013,Urban,45.48
Armenia,Population using safely managed sanitation services (%),2012,Total,48.21
Armenia,Population using safely managed sanitation services (%),2012,Urban,45.48
Armenia,Population using safely managed sanitation services (%),2011,Total,48.17
Armenia,Population using safely managed sanitation services (%),2011,Urban,45.48
Armenia,Population using safely managed sanitation services (%),2010,Total,48.14
Armenia,Population using safely managed sanitation services (%),2010,Urban,45.48
Armenia,Population using safely managed sanitation services (%),2009,Total,48.1
Armenia,Population using safely managed sanitation services (%),2009,Urban,45.48
Armenia,Population using safely managed sanitation services (%),2008,Total,48.05
Armenia,Population using safely managed sanitation services (%),2008,Urban,45.47
Armenia,Population using safely managed sanitation services (%),2007,Total,48.01
Armenia,Population using safely managed sanitation services (%),2007,Urban,45.47
Armenia,Population using safely managed sanitation services (%),2006,Total,47.97
Armenia,Population using safely managed sanitation services (%),2006,Urban,45.46
Armenia,Population using safely managed sanitation services (%),2005,Total,47.9
Armenia,Population using safely managed sanitation services (%),2005,Urban,45.46
Armenia,Population using safely managed sanitation services (%),2004,Total,47.8
Armenia,Population using safely managed sanitation services (%),2004,Urban,45.45
Armenia,Population using safely managed sanitation services (%),2003,Total,47.69
Armenia,Population using safely managed sanitation services (%),2003,Urban,45.44
Armenia,Population using safely managed sanitation services (%),2002,Total,47.59
Armenia,Population using safely managed sanitation services (%),2002,Urban,45.43
Armenia,Population using safely managed sanitation services (%),2001,Total,47.48
Armenia,Population using safely managed sanitation services (%),2001,Urban,45.42
Armenia,Population using safely managed sanitation services (%),2000,Total,47.37
Armenia,Population using safely managed sanitation services (%),2000,Urban,45.41
Australia,Population using safely managed sanitation services (%),2017,Total,75.64
Australia,Population using safely managed sanitation services (%),2016,Total,74.76
Australia,Population using safely managed sanitation services (%),2015,Total,73.88
Australia,Population using safely managed sanitation services (%),2014,Total,73
Australia,Population using safely managed sanitation services (%),2013,Total,72.12
Australia,Population using safely managed sanitation services (%),2012,Total,71.24
Australia,Population using safely managed sanitation services (%),2011,Total,70.37
Australia,Population using safely managed sanitation services (%),2010,Total,69.49
Australia,Population using safely managed sanitation services (%),2009,Total,68.61
Australia,Population using safely managed sanitation services (%),2008,Total,67.73
Australia,Population using safely managed sanitation services (%),2007,Total,66.85
Australia,Population using safely managed sanitation services (%),2006,Total,65.97
Australia,Population using safely managed sanitation services (%),2005,Total,65.09
Australia,Population using safely managed sanitation services (%),2004,Total,64.21
Australia,Population using safely managed sanitation services (%),2003,Total,64.21
Australia,Population using safely managed sanitation services (%),2002,Total,64.21
Australia,Population using safely managed sanitation services (%),2001,Total,64.21
Australia,Population using safely managed sanitation services (%),2000,Total,64.21
Austria,Population using safely managed sanitation services (%),2017,Total,96.75
Austria,Population using safely managed sanitation services (%),2017,Urban,99.95
Austria,Population using safely managed sanitation services (%),2017,Rural,92.3
Austria,Population using safely managed sanitation services (%),2016,Total,96.73
Austria,Population using safely managed sanitation services (%),2016,Urban,99.96
Austria,Population using safely managed sanitation services (%),2016,Rural,92.3
Austria,Population using safely managed sanitation services (%),2015,Total,96.72
Austria,Population using safely managed sanitation services (%),2015,Urban,99.96
Austria,Population using safely managed sanitation services (%),2015,Rural,92.3
Austria,Population using safely managed sanitation services (%),2014,Total,96.71
