Location,Indicator,Period,Dim1,First Tooltip
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Both sexes,29.2
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Male,50.5
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Female,7.9
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Both sexes,29.3
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Male,50.6
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Female,8
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,29.7
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Male,51.1
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Female,8.2
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,29.9
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Male,51.4
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Female,8.3
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Both sexes,30.1
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Male,51.7
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Female,8.5
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Both sexes,30.3
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Male,52
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Female,8.6
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Both sexes,31.1
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Male,53.2
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Female,9.1
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Both sexes,32.7
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Male,55.3
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Female,10
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Both sexes,34.2
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Male,57.4
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Female,11.1
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Both sexes,18.8
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Male,36.3
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Female,1.4
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Both sexes,18.9
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Male,36.4
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Female,1.4
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,19.1
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Male,36.8
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Female,1.5
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,19.3
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Male,37
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Female,1.5
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Both sexes,19.4
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Male,37.3
