Location,Indicator,Period,First Tooltip
Afghanistan,UHC index of essential service coverage,2017,37
Afghanistan,UHC index of essential service coverage,2015,34
Albania,UHC index of essential service coverage,2017,59
Albania,UHC index of essential service coverage,2015,58
Algeria,UHC index of essential service coverage,2017,78
Algeria,UHC index of essential service coverage,2015,76
Angola,UHC index of essential service coverage,2017,40
Angola,UHC index of essential service coverage,2015,38
Antigua and Barbuda,UHC index of essential service coverage,2017,73
Antigua and Barbuda,UHC index of essential service coverage,2015,73
Argentina,UHC index of essential service coverage,2017,76
Argentina,UHC index of essential service coverage,2015,76
Armenia,UHC index of essential service coverage,2017,69
Armenia,UHC index of essential service coverage,2015,66
Australia,UHC index of essential service coverage,2017,87
Australia,UHC index of essential service coverage,2015,86
Austria,UHC index of essential service coverage,2017,79
Austria,UHC index of essential service coverage,2015,79
Azerbaijan,UHC index of essential service coverage,2017,65
Azerbaijan,UHC index of essential service coverage,2015,63
Bahamas,UHC index of essential service coverage,2017,75
Bahamas,UHC index of essential service coverage,2015,73
Bahrain,UHC index of essential service coverage,2017,77
Bahrain,UHC index of essential service coverage,2015,75
Bangladesh,UHC index of essential service coverage,2017,48
Bangladesh,UHC index of essential service coverage,2015,46
Barbados,UHC index of essential service coverage,2017,77
Barbados,UHC index of essential service coverage,2015,76
Belarus,UHC index of essential service coverage,2017,76
Belarus,UHC index of essential service coverage,2015,74
Belgium,UHC index of essential service coverage,2017,84
Belgium,UHC index of essential service coverage,2015,83
Belize,UHC index of essential service coverage,2017,64
Belize,UHC index of essential service coverage,2015,66
Benin,UHC index of essential service coverage,2017,40
Benin,UHC index of essential service coverage,2015,40
Bhutan,UHC index of essential service coverage,2017,62
Bhutan,UHC index of essential service coverage,2015,59
Bolivia (Plurinational State of),UHC index of essential service coverage,2017,68
Bolivia (Plurinational State of),UHC index of essential service coverage,2015,64
Bosnia and Herzegovina,UHC index of essential service coverage,2017,61
Bosnia and Herzegovina,UHC index of essential service coverage,2015,60
Botswana,UHC index of essential service coverage,2017,61
Botswana,UHC index of essential service coverage,2015,61
Brazil,UHC index of essential service coverage,2017,79
